CustomerKey,LastTransaction
11083,2013-11-08 00:00:00.000
11084,2013-11-21 00:00:00.000
11085,2014-01-08 00:00:00.000
11086,2013-12-21 00:00:00.000
11087,2013-08-09 00:00:00.000
11088,2013-11-12 00:00:00.000
11089,2013-11-18 00:00:00.000
11090,2013-11-21 00:00:00.000
11091,2014-01-08 00:00:00.000
11092,2013-06-21 00:00:00.000
11093,2013-06-08 00:00:00.000
11094,2014-01-11 00:00:00.000
11095,2013-06-25 00:00:00.000
11096,2013-07-30 00:00:00.000
11097,2013-07-24 00:00:00.000
11098,2013-10-16 00:00:00.000
11099,2013-07-01 00:00:00.000
11100,2013-08-07 00:00:00.000
11101,2013-06-29 00:00:00.000
11102,2013-12-09 00:00:00.000
11103,2013-06-06 00:00:00.000
11104,2013-06-15 00:00:00.000
11105,2013-06-05 00:00:00.000
11106,2013-06-15 00:00:00.000
11107,2013-06-21 00:00:00.000
11108,2013-06-23 00:00:00.000
11109,2013-06-24 00:00:00.000
11110,2013-08-20 00:00:00.000
11111,2013-08-22 00:00:00.000
11112,2013-09-02 00:00:00.000
11113,2013-04-21 00:00:00.000
11114,2013-12-26 00:00:00.000
11115,2014-01-02 00:00:00.000
11116,2013-10-16 00:00:00.000
11117,2013-06-25 00:00:00.000
11118,2014-01-26 00:00:00.000
11119,2013-11-23 00:00:00.000
11120,2013-09-19 00:00:00.000
11121,2013-11-04 00:00:00.000
11122,2013-08-22 00:00:00.000
11123,2014-01-25 00:00:00.000
11124,2013-06-18 00:00:00.000
11125,2013-07-03 00:00:00.000
11126,2013-11-03 00:00:00.000
11127,2013-10-01 00:00:00.000
11128,2013-08-12 00:00:00.000
11129,2013-01-09 00:00:00.000
11130,2013-12-09 00:00:00.000
11131,2014-01-23 00:00:00.000
11132,2013-04-09 00:00:00.000
11133,2013-12-30 00:00:00.000
11134,2013-11-03 00:00:00.000
11135,2013-04-18 00:00:00.000
11136,2013-01-03 00:00:00.000
11137,2014-01-20 00:00:00.000
11138,2013-12-31 00:00:00.000
11139,2013-10-17 00:00:00.000
11140,2013-03-19 00:00:00.000
11141,2013-09-28 00:00:00.000
11142,2014-01-13 00:00:00.000
11143,2013-12-19 00:00:00.000
11144,2013-01-25 00:00:00.000
11145,2013-01-25 00:00:00.000
11146,2013-09-15 00:00:00.000
11147,2013-10-16 00:00:00.000
11148,2013-12-03 00:00:00.000
11149,2013-11-29 00:00:00.000
11150,2013-07-15 00:00:00.000
11151,2013-10-20 00:00:00.000
11152,2013-01-09 00:00:00.000
11153,2013-03-29 00:00:00.000
11154,2013-01-10 00:00:00.000
11155,2013-01-06 00:00:00.000
11156,2013-01-08 00:00:00.000
11157,2013-09-11 00:00:00.000
11158,2013-01-19 00:00:00.000
11159,2013-11-07 00:00:00.000
11160,2013-02-21 00:00:00.000
11161,2013-11-11 00:00:00.000
11162,2013-02-18 00:00:00.000
11163,2013-08-05 00:00:00.000
11164,2013-08-05 00:00:00.000
11165,2013-06-05 00:00:00.000
11166,2013-12-06 00:00:00.000
11167,2013-11-28 00:00:00.000
11168,2013-11-16 00:00:00.000
11169,2013-09-24 00:00:00.000
11170,2013-12-29 00:00:00.000
11171,2013-11-07 00:00:00.000
11172,2014-01-11 00:00:00.000
11173,2013-12-24 00:00:00.000
11174,2013-07-25 00:00:00.000
11175,2013-11-03 00:00:00.000
11176,2014-01-27 00:00:00.000
11177,2013-10-14 00:00:00.000
11178,2013-05-26 00:00:00.000
11179,2014-01-09 00:00:00.000
11180,2013-09-25 00:00:00.000
11181,2013-07-11 00:00:00.000
11182,2014-01-05 00:00:00.000
11183,2013-06-13 00:00:00.000
11184,2013-10-09 00:00:00.000
11185,2014-01-26 00:00:00.000
11186,2014-01-07 00:00:00.000
11187,2013-08-06 00:00:00.000
11188,2014-01-21 00:00:00.000
11189,2013-02-05 00:00:00.000
11190,2014-01-16 00:00:00.000
11191,2013-11-06 00:00:00.000
11192,2013-09-25 00:00:00.000
11193,2013-08-18 00:00:00.000
11194,2013-12-08 00:00:00.000
11195,2013-10-22 00:00:00.000
11196,2013-09-24 00:00:00.000
11197,2013-07-20 00:00:00.000
11198,2013-02-13 00:00:00.000
11199,2013-10-17 00:00:00.000
11200,2014-01-20 00:00:00.000
11201,2013-09-09 00:00:00.000
11202,2013-09-21 00:00:00.000
11203,2013-12-11 00:00:00.000
11204,2013-11-10 00:00:00.000
11205,2013-10-08 00:00:00.000
11206,2013-05-30 00:00:00.000
11207,2013-10-18 00:00:00.000
11208,2013-09-17 00:00:00.000
11209,2014-01-22 00:00:00.000
11210,2013-09-06 00:00:00.000
11211,2014-01-07 00:00:00.000
11212,2014-01-17 00:00:00.000
11213,2013-09-09 00:00:00.000
11214,2013-11-19 00:00:00.000
11215,2013-12-15 00:00:00.000
11216,2013-02-05 00:00:00.000
11217,2013-02-14 00:00:00.000
11218,2014-01-04 00:00:00.000
11219,2014-01-24 00:00:00.000
11220,2013-12-13 00:00:00.000
11221,2013-10-17 00:00:00.000
11222,2013-11-28 00:00:00.000
11223,2014-01-06 00:00:00.000
11224,2013-12-03 00:00:00.000
11225,2013-09-06 00:00:00.000
11226,2013-03-31 00:00:00.000
11227,2013-02-10 00:00:00.000
11228,2014-01-17 00:00:00.000
11229,2014-01-25 00:00:00.000
11230,2013-12-09 00:00:00.000
11231,2013-11-12 00:00:00.000
11232,2013-11-13 00:00:00.000
11233,2013-06-08 00:00:00.000
11234,2013-09-19 00:00:00.000
11235,2014-01-05 00:00:00.000
11236,2014-01-06 00:00:00.000
11237,2013-11-25 00:00:00.000
11238,2013-04-30 00:00:00.000
11239,2013-05-28 00:00:00.000
11240,2013-05-13 00:00:00.000
11241,2013-10-29 00:00:00.000
11242,2013-12-04 00:00:00.000
11243,2013-06-09 00:00:00.000
11244,2013-07-19 00:00:00.000
11245,2013-12-11 00:00:00.000
11246,2013-12-20 00:00:00.000
11247,2013-08-17 00:00:00.000
11248,2013-07-14 00:00:00.000
11249,2013-09-15 00:00:00.000
11250,2013-08-06 00:00:00.000
11251,2013-10-18 00:00:00.000
11252,2013-12-18 00:00:00.000
11253,2013-12-03 00:00:00.000
11254,2013-12-14 00:00:00.000
11255,2013-03-31 00:00:00.000
11256,2013-10-16 00:00:00.000
11257,2013-12-14 00:00:00.000
11258,2013-07-15 00:00:00.000
11259,2013-12-20 00:00:00.000
11260,2013-06-23 00:00:00.000
11261,2013-12-23 00:00:00.000
11262,2014-01-22 00:00:00.000
11263,2013-12-10 00:00:00.000
11264,2013-11-30 00:00:00.000
11265,2013-01-03 00:00:00.000
11266,2013-01-20 00:00:00.000
11267,2013-01-07 00:00:00.000
11268,2013-11-16 00:00:00.000
11269,2013-09-10 00:00:00.000
11270,2013-01-07 00:00:00.000
11271,2013-01-22 00:00:00.000
11272,2013-01-13 00:00:00.000
11273,2013-05-23 00:00:00.000
11274,2013-02-24 00:00:00.000
11275,2013-01-12 00:00:00.000
11276,2014-01-22 00:00:00.000
11277,2014-01-16 00:00:00.000
11278,2013-01-03 00:00:00.000
11279,2013-06-22 00:00:00.000
11280,2013-08-08 00:00:00.000
11281,2013-01-11 00:00:00.000
11282,2013-01-02 00:00:00.000
11283,2013-08-28 00:00:00.000
11284,2013-05-02 00:00:00.000
11285,2013-10-26 00:00:00.000
11286,2013-01-20 00:00:00.000
11287,2014-01-28 00:00:00.000
11288,2013-08-21 00:00:00.000
11289,2013-01-16 00:00:00.000
11290,2013-01-27 00:00:00.000
11291,2013-01-19 00:00:00.000
11292,2012-12-31 00:00:00.000
11293,2013-03-15 00:00:00.000
11294,2014-01-03 00:00:00.000
11295,2013-01-09 00:00:00.000
11296,2013-01-29 00:00:00.000
11297,2013-02-20 00:00:00.000
11298,2013-02-21 00:00:00.000
11299,2013-02-24 00:00:00.000
11300,2013-12-31 00:00:00.000
11301,2013-10-11 00:00:00.000
11302,2013-02-02 00:00:00.000
11303,2013-02-23 00:00:00.000
11304,2013-04-22 00:00:00.000
11305,2013-08-04 00:00:00.000
11306,2013-09-07 00:00:00.000
11307,2013-02-08 00:00:00.000
11308,2014-01-15 00:00:00.000
11309,2014-01-05 00:00:00.000
11310,2013-12-24 00:00:00.000
11311,2013-09-13 00:00:00.000
11312,2013-06-02 00:00:00.000
11313,2013-11-26 00:00:00.000
11314,2013-12-03 00:00:00.000
11315,2013-12-17 00:00:00.000
11316,2013-01-12 00:00:00.000
11317,2013-02-18 00:00:00.000
11318,2013-11-08 00:00:00.000
11319,2013-02-24 00:00:00.000
11320,2013-08-19 00:00:00.000
11321,2013-05-28 00:00:00.000
11322,2013-05-21 00:00:00.000
11323,2013-01-30 00:00:00.000
11324,2013-02-05 00:00:00.000
11325,2013-01-31 00:00:00.000
11326,2013-02-20 00:00:00.000
11327,2013-02-01 00:00:00.000
11328,2013-04-07 00:00:00.000
11329,2013-02-10 00:00:00.000
11330,2014-01-22 00:00:00.000
11331,2014-01-24 00:00:00.000
11332,2013-01-06 00:00:00.000
11333,2013-07-14 00:00:00.000
11334,2013-07-27 00:00:00.000
11335,2013-01-04 00:00:00.000
11336,2013-01-05 00:00:00.000
11337,2013-07-19 00:00:00.000
11338,2012-12-30 00:00:00.000
11339,2013-01-25 00:00:00.000
11340,2013-01-02 00:00:00.000
11341,2013-07-19 00:00:00.000
11342,2013-07-12 00:00:00.000
11343,2013-07-24 00:00:00.000
11344,2013-07-23 00:00:00.000
11345,2012-12-31 00:00:00.000
11346,2013-02-11 00:00:00.000
11347,2013-03-16 00:00:00.000
11348,2013-03-31 00:00:00.000
11349,2014-01-13 00:00:00.000
11350,2013-02-05 00:00:00.000
11351,2013-08-28 00:00:00.000
11352,2013-05-01 00:00:00.000
11353,2013-08-08 00:00:00.000
11354,2013-12-03 00:00:00.000
11355,2013-09-26 00:00:00.000
11356,2013-10-31 00:00:00.000
11357,2013-10-29 00:00:00.000
11358,2013-11-14 00:00:00.000
11359,2013-12-04 00:00:00.000
11360,2013-12-22 00:00:00.000
11361,2013-11-24 00:00:00.000
11362,2013-09-24 00:00:00.000
11363,2013-12-18 00:00:00.000
11364,2013-12-26 00:00:00.000
11365,2013-12-22 00:00:00.000
11366,2013-08-15 00:00:00.000
11367,2013-11-25 00:00:00.000
11368,2013-12-01 00:00:00.000
11369,2013-12-27 00:00:00.000
11370,2013-10-01 00:00:00.000
11371,2013-12-28 00:00:00.000
11372,2013-12-14 00:00:00.000
11373,2013-08-27 00:00:00.000
11374,2013-04-15 00:00:00.000
11375,2013-10-17 00:00:00.000
11376,2013-10-15 00:00:00.000
11377,2013-02-28 00:00:00.000
11378,2013-02-14 00:00:00.000
11379,2013-02-26 00:00:00.000
11380,2013-02-03 00:00:00.000
11381,2013-08-18 00:00:00.000
11382,2013-02-16 00:00:00.000
11383,2014-01-01 00:00:00.000
11384,2013-08-02 00:00:00.000
11385,2013-07-06 00:00:00.000
11386,2013-11-02 00:00:00.000
11387,2013-04-01 00:00:00.000
11388,2013-04-26 00:00:00.000
11389,2013-11-17 00:00:00.000
11390,2013-11-07 00:00:00.000
11391,2013-10-26 00:00:00.000
11392,2013-03-29 00:00:00.000
11393,2013-07-16 00:00:00.000
11394,2013-08-02 00:00:00.000
11395,2013-02-20 00:00:00.000
11396,2013-10-26 00:00:00.000
11397,2013-07-07 00:00:00.000
11398,2013-08-02 00:00:00.000
11399,2013-04-13 00:00:00.000
11400,2013-07-19 00:00:00.000
11401,2013-03-08 00:00:00.000
11402,2013-04-02 00:00:00.000
11403,2013-05-28 00:00:00.000
11404,2013-02-10 00:00:00.000
11405,2013-03-31 00:00:00.000
11406,2013-02-09 00:00:00.000
11407,2013-06-23 00:00:00.000
11408,2013-03-05 00:00:00.000
11409,2013-01-28 00:00:00.000
11410,2013-02-04 00:00:00.000
11411,2013-08-04 00:00:00.000
11412,2013-10-11 00:00:00.000
11413,2013-09-05 00:00:00.000
11414,2013-09-15 00:00:00.000
11415,2013-08-16 00:00:00.000
11416,2013-05-05 00:00:00.000
11417,2013-12-15 00:00:00.000
11418,2013-12-17 00:00:00.000
11419,2013-06-27 00:00:00.000
11420,2013-11-29 00:00:00.000
11421,2013-10-09 00:00:00.000
11422,2013-11-03 00:00:00.000
11423,2013-10-20 00:00:00.000
11424,2013-04-21 00:00:00.000
11425,2013-12-21 00:00:00.000
11426,2013-04-09 00:00:00.000
11427,2013-10-20 00:00:00.000
11428,2013-10-22 00:00:00.000
11429,2013-12-24 00:00:00.000
11430,2013-03-19 00:00:00.000
11431,2013-09-30 00:00:00.000
11432,2013-12-25 00:00:00.000
11433,2013-09-14 00:00:00.000
11434,2013-07-15 00:00:00.000
11435,2014-01-04 00:00:00.000
11436,2013-06-19 00:00:00.000
11437,2013-12-19 00:00:00.000
11438,2013-02-05 00:00:00.000
11439,2013-10-20 00:00:00.000
11440,2013-03-27 00:00:00.000
11441,2014-01-08 00:00:00.000
11442,2013-09-29 00:00:00.000
11443,2013-10-01 00:00:00.000
11444,2013-06-02 00:00:00.000
11445,2013-06-28 00:00:00.000
11446,2013-06-21 00:00:00.000
11447,2013-05-31 00:00:00.000
11448,2013-06-21 00:00:00.000
11449,2013-06-24 00:00:00.000
11450,2013-06-17 00:00:00.000
11451,2013-06-05 00:00:00.000
11452,2013-06-12 00:00:00.000
11453,2013-06-19 00:00:00.000
11454,2013-06-18 00:00:00.000
11455,2013-05-31 00:00:00.000
11456,2013-05-31 00:00:00.000
11457,2013-06-01 00:00:00.000
11458,2014-01-18 00:00:00.000
11459,2013-06-18 00:00:00.000
11460,2013-06-10 00:00:00.000
11461,2013-07-21 00:00:00.000
11462,2013-07-25 00:00:00.000
11463,2013-12-13 00:00:00.000
11464,2013-07-01 00:00:00.000
11465,2013-07-13 00:00:00.000
11466,2013-08-21 00:00:00.000
11467,2014-01-02 00:00:00.000
11468,2013-08-21 00:00:00.000
11469,2013-08-09 00:00:00.000
11470,2013-02-21 00:00:00.000
11471,2013-05-17 00:00:00.000
11472,2013-10-26 00:00:00.000
11473,2013-06-02 00:00:00.000
11474,2013-09-26 00:00:00.000
11475,2013-04-23 00:00:00.000
11476,2013-11-01 00:00:00.000
11477,2013-09-25 00:00:00.000
11478,2013-04-19 00:00:00.000
11479,2013-05-24 00:00:00.000
11480,2013-07-25 00:00:00.000
11481,2013-04-21 00:00:00.000
11482,2013-09-10 00:00:00.000
11483,2013-07-19 00:00:00.000
11484,2013-03-30 00:00:00.000
11485,2013-09-12 00:00:00.000
11486,2013-11-24 00:00:00.000
11487,2013-12-15 00:00:00.000
11488,2013-08-30 00:00:00.000
11489,2013-09-28 00:00:00.000
11490,2013-04-04 00:00:00.000
11491,2013-09-07 00:00:00.000
11492,2013-02-19 00:00:00.000
11493,2013-09-12 00:00:00.000
11494,2013-09-30 00:00:00.000
11495,2013-10-26 00:00:00.000
11496,2013-11-05 00:00:00.000
11497,2013-11-04 00:00:00.000
11498,2014-01-09 00:00:00.000
11499,2013-06-29 00:00:00.000
11500,2014-01-10 00:00:00.000
11501,2014-01-22 00:00:00.000
11502,2014-01-27 00:00:00.000
11503,2013-12-08 00:00:00.000
11504,2013-05-03 00:00:00.000
11505,2013-12-24 00:00:00.000
11506,2014-01-22 00:00:00.000
11507,2014-01-20 00:00:00.000
11508,2013-05-14 00:00:00.000
11509,2013-07-29 00:00:00.000
11510,2013-12-26 00:00:00.000
11511,2013-03-13 00:00:00.000
11512,2013-12-28 00:00:00.000
11513,2013-06-08 00:00:00.000
11514,2013-06-24 00:00:00.000
11515,2013-04-20 00:00:00.000
11516,2013-06-16 00:00:00.000
11517,2013-08-23 00:00:00.000
11518,2013-11-11 00:00:00.000
11519,2014-01-11 00:00:00.000
11520,2014-01-19 00:00:00.000
11521,2013-11-07 00:00:00.000
11522,2013-02-01 00:00:00.000
11523,2013-02-15 00:00:00.000
11524,2013-10-17 00:00:00.000
11525,2013-02-22 00:00:00.000
11526,2013-02-03 00:00:00.000
11527,2013-11-01 00:00:00.000
11528,2013-02-19 00:00:00.000
11529,2013-02-04 00:00:00.000
11530,2013-12-30 00:00:00.000
11531,2013-02-08 00:00:00.000
11532,2013-12-27 00:00:00.000
11533,2014-01-10 00:00:00.000
11534,2013-02-14 00:00:00.000
11535,2013-03-15 00:00:00.000
11536,2013-03-21 00:00:00.000
11537,2013-03-24 00:00:00.000
11538,2013-03-01 00:00:00.000
11539,2013-03-25 00:00:00.000
11540,2013-03-21 00:00:00.000
11541,2013-04-13 00:00:00.000
11542,2013-05-11 00:00:00.000
11543,2013-12-21 00:00:00.000
11544,2013-08-28 00:00:00.000
11545,2013-07-13 00:00:00.000
11546,2013-03-12 00:00:00.000
11547,2013-07-28 00:00:00.000
11548,2013-11-11 00:00:00.000
11549,2013-12-12 00:00:00.000
11550,2013-03-16 00:00:00.000
11551,2013-03-01 00:00:00.000
11552,2014-01-06 00:00:00.000
11553,2013-08-22 00:00:00.000
11554,2013-05-08 00:00:00.000
11555,2013-05-08 00:00:00.000
11556,2013-12-21 00:00:00.000
11557,2013-08-08 00:00:00.000
11558,2013-11-30 00:00:00.000
11559,2013-11-29 00:00:00.000
11560,2013-12-03 00:00:00.000
11561,2013-03-11 00:00:00.000
11562,2013-06-26 00:00:00.000
11563,2013-07-05 00:00:00.000
11564,2013-03-18 00:00:00.000
11565,2013-09-08 00:00:00.000
11566,2014-01-07 00:00:00.000
11567,2013-03-15 00:00:00.000
11568,2013-09-20 00:00:00.000
11569,2013-11-20 00:00:00.000
11570,2013-03-14 00:00:00.000
11571,2013-03-20 00:00:00.000
11572,2013-03-08 00:00:00.000
11573,2013-07-27 00:00:00.000
11574,2013-03-15 00:00:00.000
11575,2013-09-16 00:00:00.000
11576,2013-03-23 00:00:00.000
11577,2013-03-12 00:00:00.000
11578,2013-03-12 00:00:00.000
11579,2013-07-31 00:00:00.000
11580,2013-04-16 00:00:00.000
11581,2013-11-22 00:00:00.000
11582,2013-03-23 00:00:00.000
11583,2013-04-08 00:00:00.000
11584,2013-09-16 00:00:00.000
11585,2014-01-10 00:00:00.000
11586,2013-10-28 00:00:00.000
11587,2013-04-09 00:00:00.000
11588,2013-05-12 00:00:00.000
11589,2013-06-04 00:00:00.000
11590,2013-05-23 00:00:00.000
11591,2013-05-23 00:00:00.000
11592,2013-05-12 00:00:00.000
11593,2013-06-19 00:00:00.000
11594,2013-08-17 00:00:00.000
11595,2013-12-30 00:00:00.000
11596,2013-10-01 00:00:00.000
11597,2014-01-05 00:00:00.000
11598,2013-03-24 00:00:00.000
11599,2013-06-12 00:00:00.000
11600,2013-05-06 00:00:00.000
11601,2013-06-07 00:00:00.000
11602,2013-07-10 00:00:00.000
11603,2013-10-08 00:00:00.000
11604,2013-10-16 00:00:00.000
11605,2013-02-28 00:00:00.000
11606,2013-06-28 00:00:00.000
11607,2013-06-10 00:00:00.000
11608,2013-12-13 00:00:00.000
11609,2013-11-23 00:00:00.000
11610,2013-11-01 00:00:00.000
11611,2013-06-29 00:00:00.000
11612,2013-11-18 00:00:00.000
11613,2013-04-24 00:00:00.000
11614,2013-04-05 00:00:00.000
11615,2013-04-13 00:00:00.000
11616,2013-04-15 00:00:00.000
11617,2013-04-07 00:00:00.000
11618,2013-02-09 00:00:00.000
11619,2013-12-02 00:00:00.000
11620,2013-07-27 00:00:00.000
11621,2013-10-30 00:00:00.000
11622,2013-06-15 00:00:00.000
11623,2013-04-26 00:00:00.000
11624,2013-04-24 00:00:00.000
11625,2013-04-23 00:00:00.000
11626,2013-04-07 00:00:00.000
11627,2013-11-09 00:00:00.000
11628,2013-03-31 00:00:00.000
11629,2013-04-18 00:00:00.000
11630,2013-04-27 00:00:00.000
11631,2013-12-25 00:00:00.000
11632,2014-01-03 00:00:00.000
11633,2014-01-14 00:00:00.000
11634,2013-04-26 00:00:00.000
11635,2013-09-21 00:00:00.000
11636,2014-01-18 00:00:00.000
11637,2013-02-15 00:00:00.000
11638,2013-10-19 00:00:00.000
11639,2014-01-08 00:00:00.000
11640,2013-12-29 00:00:00.000
11641,2013-08-18 00:00:00.000
11642,2014-01-24 00:00:00.000
11643,2013-07-04 00:00:00.000
11644,2014-01-05 00:00:00.000
11645,2014-01-03 00:00:00.000
11646,2013-07-25 00:00:00.000
11647,2013-02-15 00:00:00.000
11648,2013-09-02 00:00:00.000
11649,2013-04-23 00:00:00.000
11650,2013-12-17 00:00:00.000
11651,2013-10-18 00:00:00.000
11652,2013-12-18 00:00:00.000
11653,2013-10-12 00:00:00.000
11654,2013-04-24 00:00:00.000
11655,2013-12-02 00:00:00.000
11656,2014-01-12 00:00:00.000
11657,2014-01-28 00:00:00.000
11658,2013-07-24 00:00:00.000
11659,2014-01-06 00:00:00.000
11660,2013-08-16 00:00:00.000
11661,2013-12-14 00:00:00.000
11662,2013-07-06 00:00:00.000
11663,2013-02-15 00:00:00.000
11664,2013-02-21 00:00:00.000
11665,2013-02-14 00:00:00.000
11666,2013-02-07 00:00:00.000
11667,2013-12-19 00:00:00.000
11668,2014-01-04 00:00:00.000
11669,2013-08-19 00:00:00.000
11670,2013-09-18 00:00:00.000
11671,2013-04-08 00:00:00.000
11672,2013-09-18 00:00:00.000
11673,2013-03-03 00:00:00.000
11674,2013-08-18 00:00:00.000
11675,2013-02-09 00:00:00.000
11676,2013-12-09 00:00:00.000
11677,2013-11-30 00:00:00.000
11678,2013-02-05 00:00:00.000
11679,2013-11-29 00:00:00.000
11680,2014-01-19 00:00:00.000
11681,2013-11-25 00:00:00.000
11682,2013-12-09 00:00:00.000
11683,2013-02-07 00:00:00.000
11684,2013-12-12 00:00:00.000
11685,2013-12-13 00:00:00.000
11686,2013-04-24 00:00:00.000
11687,2013-06-21 00:00:00.000
11688,2013-02-14 00:00:00.000
11689,2013-09-02 00:00:00.000
11690,2013-04-26 00:00:00.000
11691,2013-05-19 00:00:00.000
11692,2014-01-18 00:00:00.000
11693,2013-01-28 00:00:00.000
11694,2013-09-28 00:00:00.000
11695,2013-08-19 00:00:00.000
11696,2013-04-29 00:00:00.000
11697,2013-10-04 00:00:00.000
11698,2014-01-14 00:00:00.000
11699,2013-08-09 00:00:00.000
11700,2013-06-09 00:00:00.000
11701,2013-05-04 00:00:00.000
11702,2013-11-14 00:00:00.000
11703,2013-11-16 00:00:00.000
11704,2013-07-17 00:00:00.000
11705,2013-05-27 00:00:00.000
11706,2013-10-04 00:00:00.000
11707,2013-05-24 00:00:00.000
11708,2013-05-28 00:00:00.000
11709,2013-10-14 00:00:00.000
11710,2013-12-12 00:00:00.000
11711,2014-01-26 00:00:00.000
11712,2013-10-29 00:00:00.000
11713,2013-11-21 00:00:00.000
11714,2013-05-14 00:00:00.000
11715,2013-12-30 00:00:00.000
11716,2014-01-13 00:00:00.000
11717,2013-12-28 00:00:00.000
11718,2013-03-21 00:00:00.000
11719,2013-09-20 00:00:00.000
11720,2013-07-24 00:00:00.000
11721,2013-10-17 00:00:00.000
11722,2013-11-09 00:00:00.000
11723,2014-01-03 00:00:00.000
11724,2013-12-14 00:00:00.000
11725,2013-05-02 00:00:00.000
11726,2013-12-07 00:00:00.000
11727,2013-05-04 00:00:00.000
11728,2013-11-06 00:00:00.000
11729,2014-01-11 00:00:00.000
11730,2014-01-08 00:00:00.000
11731,2013-08-04 00:00:00.000
11732,2013-08-15 00:00:00.000
11733,2014-01-07 00:00:00.000
11734,2013-07-07 00:00:00.000
11735,2013-12-22 00:00:00.000
11736,2013-12-04 00:00:00.000
11737,2013-07-17 00:00:00.000
11738,2013-12-27 00:00:00.000
11739,2013-04-16 00:00:00.000
11740,2014-01-18 00:00:00.000
11741,2013-02-20 00:00:00.000
11742,2013-05-22 00:00:00.000
11743,2013-05-16 00:00:00.000
11744,2013-08-27 00:00:00.000
11745,2013-05-04 00:00:00.000
11746,2013-11-09 00:00:00.000
11747,2013-10-13 00:00:00.000
11748,2013-11-01 00:00:00.000
11749,2013-12-31 00:00:00.000
11750,2013-10-01 00:00:00.000
11751,2013-07-17 00:00:00.000
11752,2013-12-06 00:00:00.000
11753,2013-10-15 00:00:00.000
11754,2013-07-30 00:00:00.000
11755,2013-08-17 00:00:00.000
11756,2013-10-25 00:00:00.000
11757,2013-11-27 00:00:00.000
11758,2013-11-24 00:00:00.000
11759,2013-07-09 00:00:00.000
11760,2013-11-19 00:00:00.000
11761,2013-07-29 00:00:00.000
11762,2013-07-06 00:00:00.000
11763,2013-11-12 00:00:00.000
11764,2013-07-07 00:00:00.000
11765,2013-07-26 00:00:00.000
11766,2013-07-10 00:00:00.000
11767,2013-07-12 00:00:00.000
11768,2013-07-14 00:00:00.000
11769,2013-09-18 00:00:00.000
11770,2013-10-21 00:00:00.000
11771,2013-07-24 00:00:00.000
11772,2013-05-15 00:00:00.000
11773,2013-04-30 00:00:00.000
11774,2013-06-13 00:00:00.000
11775,2013-06-03 00:00:00.000
