CustomerKey,Gender,TotalChildren,HouseOwnerFlag,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup,EnglishEducation,EnglishOccupation,Age,DateFirstPurchase,CommuteDistance,NumberCarsOwned,YearlyIncomeBand
11043,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,39,2013-05-08,5-10 Miles,2,40K TO 80K
11044,M,2,1,Australia,Australia,Pacific,Partial High School,Clerical,66,2011-02-28,1-2 Miles,2,Below 40k
11045,M,3,0,Australia,Australia,Pacific,High School,Skilled Manual,65,2013-04-10,1-2 Miles,2,Below 40k
11046,F,3,1,Australia,Australia,Pacific,High School,Skilled Manual,65,2011-02-06,5-10 Miles,2,Below 40k
11047,F,3,0,Australia,Australia,Pacific,High School,Skilled Manual,65,2011-02-03,1-2 Miles,2,Below 40k
11048,M,3,1,Australia,Australia,Pacific,High School,Skilled Manual,64,2011-02-10,5-10 Miles,2,Below 40k
11049,F,0,1,Southwest,United States,North America,Partial High School,Clerical,34,2013-03-09,5-10 Miles,2,40K TO 80K
11050,M,3,1,Australia,Australia,Pacific,High School,Skilled Manual,63,2011-02-20,5-10 Miles,2,Below 40k
11051,M,3,0,Australia,Australia,Pacific,High School,Skilled Manual,63,2013-12-29,1-2 Miles,2,Below 40k
11052,F,2,0,Australia,Australia,Pacific,Partial College,Clerical,63,2011-02-17,5-10 Miles,2,40K TO 80K
11053,F,0,0,Southwest,United States,North America,Partial College,Skilled Manual,34,2013-01-17,1-2 Miles,2,40K TO 80K
11054,F,2,1,Australia,Australia,Pacific,Partial College,Skilled Manual,63,2011-02-03,5-10 Miles,2,40K TO 80K
11055,M,2,1,Australia,Australia,Pacific,Partial College,Skilled Manual,63,2011-01-31,5-10 Miles,2,40K TO 80K
11056,F,3,1,Australia,Australia,Pacific,Partial College,Skilled Manual,62,2011-02-26,5-10 Miles,2,40K TO 80K
11057,M,2,1,Australia,Australia,Pacific,Graduate Degree,Management,50,2011-02-22,1-2 Miles,2,40K TO 80K
11058,M,2,1,Australia,Australia,Pacific,Partial College,Skilled Manual,55,2011-03-09,1-2 Miles,2,80k to 120k
11059,F,2,1,Australia,Australia,Pacific,Partial College,Skilled Manual,61,2013-02-18,5-10 Miles,2,80k to 120k
11060,M,2,1,Australia,Australia,Pacific,Partial College,Skilled Manual,61,2011-03-19,5-10 Miles,2,80k to 120k
11061,M,2,1,Australia,Australia,Pacific,Partial College,Skilled Manual,44,2011-03-13,5-10 Miles,2,80k to 120k
11062,M,0,1,Northwest,United States,North America,High School,Skilled Manual,39,2013-01-07,5-10 Miles,2,40K TO 80K
11063,F,0,1,Northwest,United States,North America,High School,Skilled Manual,40,2013-01-12,5-10 Miles,2,40K TO 80K
11064,M,0,1,Southwest,United States,North America,High School,Skilled Manual,39,2013-01-25,5-10 Miles,2,40K TO 80K
11065,F,0,0,Southwest,United States,North America,Partial College,Skilled Manual,41,2013-02-10,1-2 Miles,2,40K TO 80K
11066,F,0,1,Northwest,United States,North America,Partial College,Professional,41,2013-05-31,5-10 Miles,2,40K TO 80K
11067,M,0,1,Northwest,United States,North America,Partial College,Professional,38,2013-08-18,5-10 Miles,2,40K TO 80K
11068,F,2,1,Australia,Australia,Pacific,High School,Skilled Manual,54,2013-04-30,5-10 Miles,2,80k to 120k
11069,F,2,0,Australia,Australia,Pacific,High School,Skilled Manual,54,2011-04-17,1-2 Miles,2,80k to 120k
11070,M,2,1,Australia,Australia,Pacific,High School,Skilled Manual,60,2011-04-28,5-10 Miles,2,80k to 120k
11071,F,2,1,Australia,Australia,Pacific,High School,Skilled Manual,60,2013-03-01,5-10 Miles,2,80k to 120k
11072,F,2,0,Australia,Australia,Pacific,High School,Skilled Manual,60,2011-03-31,1-2 Miles,2,80k to 120k
11073,F,2,1,Australia,Australia,Pacific,High School,Skilled Manual,58,2013-03-23,5-10 Miles,2,40K TO 80K
11074,M,2,1,Australia,Australia,Pacific,High School,Skilled Manual,58,2013-03-23,5-10 Miles,2,40K TO 80K
11075,F,2,1,Australia,Australia,Pacific,High School,Professional,57,2011-04-28,5-10 Miles,2,80k to 120k
11076,M,2,1,Australia,Australia,Pacific,High School,Professional,57,2011-04-21,5-10 Miles,2,80k to 120k
11077,F,2,0,Australia,Australia,Pacific,High School,Professional,57,2011-04-15,1-2 Miles,2,80k to 120k
11078,F,0,0,Canada,Canada,North America,High School,Professional,35,2013-02-15,1-2 Miles,2,40K TO 80K
11079,M,0,1,Australia,Australia,Pacific,Graduate Degree,Management,50,2013-03-15,0-1 Miles,2,Above 120k
11080,M,0,1,Australia,Australia,Pacific,Graduate Degree,Management,55,2011-04-10,0-1 Miles,2,Above 120k
11081,F,2,1,Southwest,United States,North America,Bachelors,Management,48,2013-02-12,2-5 Miles,3,Above 120k
11082,F,0,0,Southwest,United States,North America,Graduate Degree,Management,48,2013-01-22,1-2 Miles,3,Above 120k
11083,F,0,1,Southwest,United States,North America,Graduate Degree,Management,43,2013-01-06,1-2 Miles,3,Above 120k
11084,M,2,0,Northwest,United States,North America,Partial High School,Skilled Manual,57,2013-01-04,1-2 Miles,2,80k to 120k
11085,F,2,0,Southwest,United States,North America,High School,Professional,57,2013-12-06,5-10 Miles,2,40K TO 80K
11086,M,2,1,Southwest,United States,North America,Partial College,Professional,57,2013-07-02,0-1 Miles,0,40K TO 80K
11087,F,3,0,Southwest,United States,North America,Partial College,Professional,57,2013-02-25,0-1 Miles,0,40K TO 80K
11088,M,2,1,Southwest,United States,North America,Bachelors,Management,57,2013-01-13,2-5 Miles,0,80k to 120k
11089,F,2,1,Southwest,United States,North America,Bachelors,Management,58,2012-12-29,2-5 Miles,1,80k to 120k
11090,M,2,1,Southwest,United States,North America,Partial College,Professional,52,2011-08-07,2-5 Miles,1,80k to 120k
11091,M,2,1,Canada,Canada,North America,Partial College,Professional,58,2013-01-29,5-10 Miles,1,80k to 120k
11092,F,2,1,Australia,Australia,Pacific,Bachelors,Professional,48,2011-04-08,1-2 Miles,0,80k to 120k
11093,F,0,1,Australia,Australia,Pacific,Graduate Degree,Management,42,2011-04-07,0-1 Miles,0,80k to 120k
11094,M,1,0,Australia,Australia,Pacific,Partial College,Skilled Manual,53,2013-04-07,0-1 Miles,1,40K TO 80K
11095,M,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,52,2011-04-01,5-10 Miles,1,40K TO 80K
11096,M,1,1,Australia,Australia,Pacific,Bachelors,Professional,52,2011-04-11,5-10 Miles,1,40K TO 80K
11097,M,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,48,2011-04-04,5-10 Miles,1,40K TO 80K
11098,F,1,0,Australia,Australia,Pacific,Partial College,Skilled Manual,54,2013-02-11,0-1 Miles,1,40K TO 80K
11099,M,1,1,Australia,Australia,Pacific,Bachelors,Professional,54,2011-04-07,0-1 Miles,1,40K TO 80K
11100,F,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,54,2011-04-16,5-10 Miles,1,40K TO 80K
11101,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,50,2011-04-29,0-1 Miles,1,40K TO 80K
11102,F,5,1,Australia,Australia,Pacific,Bachelors,Professional,50,2013-07-16,1-2 Miles,4,80k to 120k
11103,F,0,1,Australia,Australia,Pacific,Bachelors,Professional,39,2011-04-15,5-10 Miles,1,40K TO 80K
11104,M,0,0,Australia,Australia,Pacific,Bachelors,Professional,45,2011-05-04,0-1 Miles,1,40K TO 80K
11105,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,50,2011-05-14,5-10 Miles,1,40K TO 80K
11106,M,0,0,Australia,Australia,Pacific,Bachelors,Professional,50,2011-05-18,5-10 Miles,1,40K TO 80K
11107,F,1,1,Australia,Australia,Pacific,Bachelors,Professional,44,2011-05-01,5-10 Miles,1,80k to 120k
11108,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,51,2011-05-03,0-1 Miles,2,40K TO 80K
11109,M,0,0,Australia,Australia,Pacific,Bachelors,Professional,40,2011-05-10,0-1 Miles,2,40K TO 80K
11110,M,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,53,2011-05-01,5-10 Miles,1,40K TO 80K
11111,F,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,53,2011-05-20,0-1 Miles,1,40K TO 80K
11112,F,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,52,2011-05-25,0-1 Miles,1,40K TO 80K
11113,M,5,1,Australia,Australia,Pacific,Bachelors,Professional,47,2013-02-01,5-10 Miles,2,40K TO 80K
11114,F,5,1,Australia,Australia,Pacific,Partial College,Skilled Manual,53,2013-03-18,5-10 Miles,2,40K TO 80K
11115,M,5,1,Australia,Australia,Pacific,Partial College,Skilled Manual,53,2013-02-10,0-1 Miles,2,40K TO 80K
11116,M,5,1,Australia,Australia,Pacific,Partial College,Skilled Manual,41,2013-03-15,5-10 Miles,2,40K TO 80K
11117,F,5,1,Australia,Australia,Pacific,Partial College,Skilled Manual,54,2011-05-06,10+ Miles,3,40K TO 80K
11118,M,1,0,Australia,Australia,Pacific,Partial College,Skilled Manual,58,2013-07-10,0-1 Miles,1,80k to 120k
11119,M,2,0,Australia,Australia,Pacific,Partial College,Clerical,80,2013-02-03,0-1 Miles,2,Below 40k
11120,F,2,1,Australia,Australia,Pacific,Bachelors,Management,78,2011-05-14,5-10 Miles,1,40K TO 80K
11121,M,5,1,Australia,Australia,Pacific,Partial College,Skilled Manual,54,2013-06-24,10+ Miles,3,40K TO 80K
11122,M,5,1,Australia,Australia,Pacific,Partial College,Skilled Manual,55,2013-02-21,5-10 Miles,3,40K TO 80K
11123,M,5,1,Australia,Australia,Pacific,Partial College,Skilled Manual,55,2013-04-17,10+ Miles,3,40K TO 80K
11124,M,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,52,2011-05-05,5-10 Miles,1,80k to 120k
11125,F,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,59,2013-01-31,5-10 Miles,1,40K TO 80K
11126,M,2,0,Australia,Australia,Pacific,High School,Skilled Manual,66,2011-05-28,0-1 Miles,2,Below 40k
11127,F,0,1,Southwest,United States,North America,High School,Skilled Manual,39,2013-04-10,5-10 Miles,1,40K TO 80K
11128,F,0,1,Northwest,United States,North America,High School,Skilled Manual,39,2013-06-19,5-10 Miles,1,40K TO 80K
11129,F,0,1,Northwest,United States,North America,High School,Skilled Manual,39,2011-08-06,5-10 Miles,1,40K TO 80K
11130,F,0,1,Northwest,United States,North America,High School,Skilled Manual,35,2013-12-09,5-10 Miles,2,Below 40k
11131,F,0,0,Canada,Canada,North America,High School,Skilled Manual,35,2013-10-18,0-1 Miles,2,Below 40k
11132,F,0,0,Canada,Canada,North America,High School,Skilled Manual,34,2013-04-09,5-10 Miles,2,Below 40k
11133,F,0,0,Northwest,United States,North America,Partial High School,Clerical,34,2013-12-30,0-1 Miles,2,Below 40k
11134,M,5,1,Australia,Australia,Pacific,High School,Skilled Manual,63,2011-05-03,5-10 Miles,2,Below 40k
11135,M,0,0,Southwest,United States,North America,Partial High School,Clerical,35,2013-04-18,5-10 Miles,2,Below 40k
11136,F,0,0,Canada,Canada,North America,High School,Skilled Manual,36,2013-01-03,0-1 Miles,2,40K TO 80K
11137,F,0,1,Northwest,United States,North America,High School,Skilled Manual,36,2013-07-31,5-10 Miles,2,40K TO 80K
11138,F,0,0,Southwest,United States,North America,High School,Skilled Manual,36,2013-09-19,0-1 Miles,2,40K TO 80K
11139,F,2,0,Australia,Australia,Pacific,Partial College,Clerical,71,2013-09-14,5-10 Miles,2,Below 40k
11140,M,0,0,Southwest,United States,North America,Partial High School,Clerical,38,2013-03-19,5-10 Miles,2,Below 40k
11141,F,0,0,Southwest,United States,North America,High School,Skilled Manual,38,2013-05-16,0-1 Miles,2,40K TO 80K
11142,M,0,0,Canada,Canada,North America,High School,Skilled Manual,37,2013-02-13,0-1 Miles,2,40K TO 80K
11143,M,0,1,Southwest,United States,North America,High School,Skilled Manual,38,2013-06-15,5-10 Miles,2,40K TO 80K
11144,M,0,0,Northwest,United States,North America,High School,Skilled Manual,35,2013-01-25,0-1 Miles,2,40K TO 80K
11145,F,0,0,Northwest,United States,North America,High School,Skilled Manual,35,2013-01-25,0-1 Miles,2,40K TO 80K
11146,F,2,1,Australia,Australia,Pacific,Bachelors,Management,75,2013-02-05,5-10 Miles,2,40K TO 80K
11147,M,2,1,Australia,Australia,Pacific,Graduate Degree,Management,76,2011-05-13,0-1 Miles,1,40K TO 80K
11148,M,2,1,Australia,Australia,Pacific,Bachelors,Management,73,2013-03-07,5-10 Miles,2,40K TO 80K
11149,M,2,1,Australia,Australia,Pacific,Bachelors,Management,74,2013-06-04,0-1 Miles,2,40K TO 80K
11150,M,2,1,Australia,Australia,Pacific,Bachelors,Management,74,2013-03-27,5-10 Miles,2,40K TO 80K
11151,F,2,0,Australia,Australia,Pacific,Graduate Degree,Management,73,2011-05-15,0-1 Miles,1,40K TO 80K
11152,M,0,1,Northwest,United States,North America,High School,Skilled Manual,39,2013-01-09,5-10 Miles,2,40K TO 80K
11153,F,0,1,Northwest,United States,North America,High School,Skilled Manual,39,2013-03-29,5-10 Miles,2,40K TO 80K
11154,F,0,1,Northwest,United States,North America,Partial College,Skilled Manual,38,2013-01-10,5-10 Miles,1,40K TO 80K
11155,M,0,0,Southwest,United States,North America,Partial College,Skilled Manual,39,2013-01-06,1-2 Miles,1,40K TO 80K
11156,F,0,0,Southwest,United States,North America,Partial College,Skilled Manual,39,2013-01-08,1-2 Miles,1,40K TO 80K
11157,F,0,1,Northwest,United States,North America,High School,Skilled Manual,40,2013-07-24,5-10 Miles,2,40K TO 80K
11158,M,0,1,Southwest,United States,North America,High School,Skilled Manual,39,2013-01-19,5-10 Miles,2,40K TO 80K
11159,F,0,0,Southwest,United States,North America,High School,Skilled Manual,39,2013-09-08,1-2 Miles,2,40K TO 80K
11160,M,0,0,Southwest,United States,North America,Partial College,Skilled Manual,41,2013-02-21,5-10 Miles,1,40K TO 80K
11161,F,0,0,Southwest,United States,North America,Partial College,Skilled Manual,41,2013-06-01,1-2 Miles,1,40K TO 80K
11162,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,41,2013-02-18,5-10 Miles,1,40K TO 80K
11163,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,40,2013-05-01,5-10 Miles,1,40K TO 80K
11164,M,0,0,Southwest,United States,North America,Partial College,Skilled Manual,41,2013-04-27,1-2 Miles,1,40K TO 80K
11165,F,0,0,Southwest,United States,North America,Partial College,Skilled Manual,41,2013-05-25,1-2 Miles,1,40K TO 80K
11166,F,0,0,Northwest,United States,North America,Partial College,Skilled Manual,43,2013-10-14,0-1 Miles,2,40K TO 80K
11167,F,0,0,Northwest,United States,North America,Bachelors,Management,42,2013-01-07,0-1 Miles,1,80k to 120k
11168,M,0,0,Southwest,United States,North America,Bachelors,Management,47,2013-01-15,0-1 Miles,1,80k to 120k
11169,M,4,1,Southwest,United States,North America,Bachelors,Management,47,2013-05-26,0-1 Miles,1,80k to 120k
11170,F,4,1,Northwest,United States,North America,Bachelors,Management,47,2013-08-26,0-1 Miles,1,80k to 120k
11171,M,1,1,Southwest,United States,North America,Bachelors,Management,42,2011-08-20,1-2 Miles,2,80k to 120k
11172,F,1,1,Northwest,United States,North America,Bachelors,Management,47,2013-05-03,1-2 Miles,2,80k to 120k
11173,F,0,0,Northwest,United States,North America,Graduate Degree,Management,47,2013-03-02,0-1 Miles,4,80k to 120k
11174,M,0,1,Southwest,United States,North America,Graduate Degree,Management,47,2013-07-13,2-5 Miles,0,80k to 120k
11175,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,52,2011-08-28,5-10 Miles,2,40K TO 80K
11176,M,4,1,Canada,Canada,North America,Bachelors,Management,41,2013-02-02,1-2 Miles,1,80k to 120k
11177,M,2,1,Southwest,United States,North America,Graduate Degree,Management,72,2013-03-29,5-10 Miles,2,80k to 120k
11178,M,2,1,Southwest,United States,North America,Graduate Degree,Management,66,2013-02-21,1-2 Miles,3,80k to 120k
11179,F,2,1,Southwest,United States,North America,Graduate Degree,Management,61,2013-03-12,5-10 Miles,3,Above 120k
11180,F,1,1,Southwest,United States,North America,Bachelors,Management,72,2013-03-17,0-1 Miles,4,Above 120k
11181,M,2,1,Southwest,United States,North America,Graduate Degree,Management,60,2013-05-07,0-1 Miles,2,Above 120k
11182,F,4,1,Northwest,United States,North America,Bachelors,Management,70,2013-08-28,10+ Miles,2,40K TO 80K
11183,F,4,1,Southwest,United States,North America,Bachelors,Management,70,2013-04-30,10+ Miles,2,40K TO 80K
11184,F,4,1,Southwest,United States,North America,Bachelors,Management,65,2013-08-10,10+ Miles,2,40K TO 80K
11185,F,4,1,Canada,Canada,North America,Bachelors,Management,70,2013-02-21,10+ Miles,2,40K TO 80K
11186,F,4,1,Southwest,United States,North America,Bachelors,Management,71,2013-10-18,10+ Miles,2,40K TO 80K
11187,F,4,1,Northwest,United States,North America,Graduate Degree,Management,71,2013-04-03,10+ Miles,2,40K TO 80K
11188,F,4,0,Southwest,United States,North America,Graduate Degree,Management,70,2013-11-01,1-2 Miles,2,40K TO 80K
11189,M,4,1,Northwest,United States,North America,Graduate Degree,Management,70,2011-08-26,10+ Miles,2,40K TO 80K
11190,M,5,1,Southwest,United States,North America,Bachelors,Management,71,2013-08-28,10+ Miles,2,40K TO 80K
11191,F,5,1,Southwest,United States,North America,Bachelors,Management,69,2011-08-11,10+ Miles,3,40K TO 80K
11192,M,4,1,Northwest,United States,North America,Bachelors,Management,69,2013-06-23,2-5 Miles,2,40K TO 80K
11193,M,4,1,Northwest,United States,North America,Bachelors,Management,70,2013-02-25,2-5 Miles,2,40K TO 80K
11194,F,4,1,Southwest,United States,North America,Bachelors,Management,70,2013-03-13,2-5 Miles,2,40K TO 80K
11195,F,5,1,Northwest,United States,North America,Bachelors,Management,69,2013-04-14,10+ Miles,3,40K TO 80K
11196,M,5,1,Northwest,United States,North America,Bachelors,Management,69,2013-03-03,10+ Miles,3,40K TO 80K
11197,F,3,0,Northwest,United States,North America,Bachelors,Management,69,2013-05-02,1-2 Miles,1,40K TO 80K
11198,F,4,1,Southwest,United States,North America,Bachelors,Management,68,2013-02-05,10+ Miles,1,40K TO 80K
11199,F,4,1,Southwest,United States,North America,Bachelors,Management,63,2013-03-18,10+ Miles,1,40K TO 80K
11200,M,4,1,Canada,Canada,North America,Bachelors,Management,67,2013-02-07,1-2 Miles,1,40K TO 80K
11201,F,4,1,Southwest,United States,North America,Bachelors,Management,67,2013-07-01,10+ Miles,1,40K TO 80K
11202,F,5,0,Southwest,United States,North America,Bachelors,Management,62,2013-09-15,1-2 Miles,2,80k to 120k
11203,M,2,1,Canada,Canada,North America,High School,Professional,61,2013-02-20,10+ Miles,2,40K TO 80K
11204,F,2,1,Northwest,United States,North America,High School,Professional,67,2013-08-09,2-5 Miles,2,40K TO 80K
11205,F,2,1,Northwest,United States,North America,High School,Professional,66,2013-07-27,10+ Miles,2,40K TO 80K
11206,M,2,1,Northwest,United States,North America,Partial College,Professional,66,2013-05-11,10+ Miles,1,40K TO 80K
11207,F,2,1,Northwest,United States,North America,Partial College,Professional,66,2013-01-31,10+ Miles,1,40K TO 80K
11208,F,2,1,Southwest,United States,North America,Bachelors,Management,67,2013-03-04,10+ Miles,0,40K TO 80K
11209,F,2,1,Southwest,United States,North America,Bachelors,Management,67,2013-03-25,10+ Miles,0,40K TO 80K
11210,M,4,1,Southwest,United States,North America,Partial College,Professional,67,2013-05-06,10+ Miles,2,40K TO 80K
11211,F,2,1,Canada,Canada,North America,High School,Professional,60,2013-02-01,2-5 Miles,2,40K TO 80K
11212,F,2,1,Canada,Canada,North America,High School,Professional,65,2013-01-30,2-5 Miles,2,40K TO 80K
11213,F,2,1,Northwest,United States,North America,Partial College,Professional,66,2013-03-28,10+ Miles,2,40K TO 80K
11214,M,2,1,Northwest,United States,North America,Partial College,Professional,65,2013-08-14,10+ Miles,2,40K TO 80K
11215,F,2,1,Canada,Canada,North America,Partial High School,Skilled Manual,59,2013-02-15,10+ Miles,2,40K TO 80K
11216,F,2,1,Northwest,United States,North America,Partial College,Professional,65,2011-08-15,10+ Miles,2,40K TO 80K
11217,F,2,1,Northwest,United States,North America,Partial College,Professional,65,2011-08-10,10+ Miles,2,40K TO 80K
11218,F,2,0,Northwest,United States,North America,Partial College,Professional,59,2013-02-28,2-5 Miles,2,40K TO 80K
11219,M,2,1,Northwest,United States,North America,High School,Professional,64,2013-10-29,10+ Miles,2,40K TO 80K
11220,F,2,1,Southwest,United States,North America,Partial College,Professional,59,2013-03-14,10+ Miles,1,40K TO 80K
11221,M,4,1,Southwest,United States,North America,Partial College,Professional,65,2013-04-07,1-2 Miles,1,40K TO 80K
11222,F,3,1,Southwest,United States,North America,Bachelors,Management,64,2013-11-01,1-2 Miles,1,80k to 120k
11223,F,2,1,Canada,Canada,North America,High School,Professional,63,2013-01-29,2-5 Miles,2,40K TO 80K
11224,F,2,1,Northwest,United States,North America,High School,Professional,63,2011-08-07,10+ Miles,2,40K TO 80K
11225,F,2,1,Northwest,United States,North America,Partial College,Professional,58,2013-06-22,10+ Miles,1,40K TO 80K
11226,F,2,1,Northwest,United States,North America,Partial College,Professional,58,2013-02-21,2-5 Miles,1,40K TO 80K
11227,M,2,1,Southwest,United States,North America,Partial College,Professional,58,2011-08-03,10+ Miles,2,40K TO 80K
11228,F,2,1,Southwest,United States,North America,Partial College,Professional,64,2013-10-25,10+ Miles,2,40K TO 80K
11229,M,4,1,Southwest,United States,North America,Partial College,Professional,63,2013-07-27,10+ Miles,1,40K TO 80K
11230,F,4,0,Southwest,United States,North America,Partial College,Professional,64,2013-07-16,2-5 Miles,2,40K TO 80K
11231,M,2,1,Northwest,United States,North America,High School,Professional,57,2013-02-10,10+ Miles,2,40K TO 80K
11232,F,3,0,Northwest,United States,North America,High School,Professional,62,2013-09-20,2-5 Miles,2,40K TO 80K
11233,M,4,1,Southwest,United States,North America,Partial College,Professional,57,2013-02-08,10+ Miles,2,40K TO 80K
11234,F,4,1,Southwest,United States,North America,Partial College,Professional,62,2013-02-08,10+ Miles,2,40K TO 80K
11235,M,4,1,Northwest,United States,North America,Partial College,Professional,63,2013-07-04,10+ Miles,2,40K TO 80K
11236,M,5,1,Northwest,United States,North America,Partial College,Professional,63,2013-10-03,10+ Miles,2,40K TO 80K
11237,M,2,0,Germany,Germany,Europe,Bachelors,Management,56,2011-09-05,0-1 Miles,4,Above 120k
