,CustomerKey,AverageVisitPerMonth,AverageSpentEachMonth,TotalVisit,TotalMonth,Gender,TotalChildren,HouseOwnerFlag,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup,EnglishEducation,EnglishOccupation,Age,DateFirstPurchase,CommuteDistance,NumberCarsOwned,YearlyIncomeBand,TotalOrderNumber,TotalSpent,TotalProfit,TotalTransaction,AverageBasket,ChurnTarget
149,18022,3,63.97,3,1,M,5,1,Germany,Germany,Europe,High School,Manual,35,2013-02-27,0-1 Miles,2,Below 40k,3,63.97,40.0451,1,3,1
152,22459,1,539.99,1,1,M,1,1,Germany,Germany,Europe,Partial College,Manual,47,2013-01-20,2-5 Miles,0,Below 40k,1,539.99,196.3404,1,1,1
153,21062,3,563.77,3,1,F,1,0,France,France,Europe,Bachelors,Clerical,36,2013-03-13,0-1 Miles,1,Below 40k,3,563.77,211.2266,1,3,1
157,21603,4,567.76,4,1,M,2,1,Northwest,United States,North America,Bachelors,Skilled Manual,47,2013-02-03,0-1 Miles,1,40K TO 80K,4,567.76,213.7243,1,4,1
160,19588,1,3028.305,3,2,M,5,1,Australia,Australia,Pacific,Bachelors,Professional,46,2011-08-07,1-2 Miles,4,80k to 120k,3,6056.61,2317.2816,2,1,1
161,20129,2,119.98,2,1,F,1,1,Northwest,United States,North America,Graduate Degree,Skilled Manual,43,2013-04-04,1-2 Miles,0,40K TO 80K,2,119.98,55.3114,1,2,1
163,26389,3,36.27,3,1,F,2,0,France,France,Europe,High School,Professional,54,2013-04-27,2-5 Miles,4,80k to 120k,3,36.27,22.7049,1,3,1
173,24915,1,1072.9587,3,2,M,0,1,Australia,Australia,Pacific,High School,Management,38,2012-06-29,10+ Miles,3,80k to 120k,3,2145.9175,817.8422,2,1,1
178,26930,4,1263.82,4,1,F,4,1,Germany,Germany,Europe,Graduate Degree,Clerical,54,2013-03-20,0-1 Miles,0,Below 40k,4,1263.82,490.3543,1,4,1
185,22874,2,548.98,2,1,M,4,1,Northwest,United States,North America,High School,Skilled Manual,53,2013-04-21,10+ Miles,3,40K TO 80K,2,548.98,198.4081,1,2,1
194,18775,1,69.99,1,1,F,0,1,Northwest,United States,North America,High School,Skilled Manual,40,2013-02-02,5-10 Miles,2,40K TO 80K,1,69.99,43.8137,1,1,1
195,21188,4,123.96,4,1,M,4,1,Australia,Australia,Pacific,Bachelors,Professional,50,2013-05-30,5-10 Miles,2,40K TO 80K,4,123.96,56.2188,1,4,1
196,11178,3,72.38,6,2,M,2,1,Southwest,United States,North America,Graduate Degree,Management,66,2013-02-21,1-2 Miles,3,80k to 120k,6,144.76,90.6196,2,3,1
198,17842,3,37.27,3,1,M,0,1,France,France,Europe,Partial High School,Manual,39,2013-03-19,2-5 Miles,1,Below 40k,3,37.27,23.3309,1,3,1
200,24397,3,38.88,3,1,M,2,0,Southwest,United States,North America,Bachelors,Management,49,2013-03-02,1-2 Miles,4,Above 120k,3,38.88,24.3388,1,3,1
201,18148,1,759.2891,3,2,F,3,1,France,France,Europe,Partial High School,Skilled Manual,69,2011-10-16,2-5 Miles,3,40K TO 80K,3,1518.5782,647.1612,2,1,1
208,21400,2,1344.4448,5,2,M,0,0,Canada,Canada,North America,Partial College,Skilled Manual,36,2012-09-14,1-2 Miles,2,40K TO 80K,5,2688.8896,1198.4065,2,2,1
210,23415,1,1794.415,3,2,F,2,1,Australia,Australia,Pacific,Bachelors,Professional,47,2012-07-01,2-5 Miles,1,40K TO 80K,3,3588.83,1347.6175,2,1,1
214,13279,2,2266.7612,4,2,F,1,1,Southwest,United States,North America,Graduate Degree,Management,49,2012-02-02,1-2 Miles,4,Above 120k,4,4533.5225,1939.5506,2,2,1
223,17716,1,1350.7137,2,2,M,1,1,France,France,Europe,Bachelors,Clerical,59,2012-07-06,0-1 Miles,0,Below 40k,2,2701.4275,1013.2683,2,1,1
224,27202,4,96.92,4,1,M,0,0,Northwest,United States,North America,Graduate Degree,Skilled Manual,49,2013-03-09,0-1 Miles,0,80k to 120k,4,96.92,60.6718,1,4,1
229,18758,4,79.255,9,2,M,0,0,Canada,Canada,North America,Partial High School,Clerical,36,2013-02-20,5-10 Miles,2,Below 40k,9,158.51,99.227,2,4,1
231,26701,2,39.98,2,1,F,5,1,Canada,Canada,North America,Partial College,Professional,47,2013-04-02,5-10 Miles,3,80k to 120k,2,39.98,25.0274,1,2,1
237,23103,2,85.48,2,1,M,2,0,Australia,Australia,Pacific,Partial College,Skilled Manual,45,2013-05-17,1-2 Miles,2,40K TO 80K,2,85.48,53.5105,1,2,1
239,22170,2,1372.6662,4,2,F,3,0,Australia,Australia,Pacific,Partial College,Clerical,64,2012-04-03,1-2 Miles,2,Below 40k,4,2745.3325,1072.1053,2,2,1
241,25642,3,583.97,3,1,M,1,1,United Kingdom,United Kingdom,Europe,Bachelors,Skilled Manual,50,2013-02-24,0-1 Miles,0,40K TO 80K,3,583.97,220.3118,1,3,1
243,29140,1,3578.27,1,1,M,3,1,Northwest,United States,North America,Graduate Degree,Professional,46,2011-07-06,2-5 Miles,0,40K TO 80K,1,3578.27,1406.9758,1,1,1
253,14736,2,85.48,2,1,M,3,0,Northwest,United States,North America,Partial High School,Manual,61,2013-03-01,0-1 Miles,2,Below 40k,2,85.48,53.5105,1,2,1
258,28599,1,7.95,1,1,F,1,0,Northwest,United States,North America,High School,Clerical,49,2013-04-28,1-2 Miles,2,Below 40k,1,7.95,4.9767,1,1,1
259,28802,1,2443.35,1,1,F,0,1,Canada,Canada,North America,Graduate Degree,Skilled Manual,37,2012-02-01,1-2 Miles,0,40K TO 80K,1,2443.35,924.5636,1,1,1
261,20146,1,3.99,1,1,F,2,1,France,France,Europe,Partial College,Manual,69,2013-02-15,2-5 Miles,1,Below 40k,1,3.99,2.4977,1,1,1
262,13388,3,106.96,3,1,M,2,1,Southwest,United States,North America,Partial College,Professional,65,2013-03-05,10+ Miles,1,40K TO 80K,3,106.96,47.1609,1,3,1
263,22044,4,607.96,4,1,M,0,0,Southwest,United States,North America,Bachelors,Management,37,2013-04-11,0-1 Miles,1,80k to 120k,4,607.96,217.5095,1,4,1
265,20358,2,123.98,2,1,M,2,1,Northwest,United States,North America,Graduate Degree,Management,74,2013-05-03,1-2 Miles,2,40K TO 80K,2,123.98,56.2314,1,2,1
267,29014,3,63.97,3,1,M,2,1,Northwest,United States,North America,Partial College,Professional,65,2013-02-04,10+ Miles,2,40K TO 80K,3,63.97,40.0451,1,3,1
268,13176,2,2376.66,4,2,M,0,0,Southwest,United States,North America,Graduate Degree,Management,47,2012-01-28,0-1 Miles,2,Above 120k,4,4753.32,1976.9497,2,2,1
275,22585,3,553.97,3,1,M,4,0,Germany,Germany,Europe,Graduate Degree,Clerical,53,2013-05-28,0-1 Miles,0,Below 40k,3,553.97,205.0918,1,3,1
283,28928,3,2473.05,3,1,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,39,2013-03-29,10+ Miles,2,80k to 120k,3,2473.05,936.4535,1,3,1
285,12635,1,49.99,1,1,M,5,0,France,France,Europe,Partial College,Professional,63,2013-03-22,2-5 Miles,2,80k to 120k,1,49.99,11.4977,1,1,1
286,16963,2,39.98,2,1,F,1,1,Southwest,United States,North America,Graduate Degree,Professional,40,2013-04-02,0-1 Miles,0,40K TO 80K,2,39.98,25.0274,1,2,1
292,19233,1,69.99,1,1,M,4,1,Southwest,United States,North America,Graduate Degree,Skilled Manual,50,2013-04-09,1-2 Miles,0,40K TO 80K,1,69.99,43.8137,1,1,1
294,24829,2,34.89,2,1,M,0,0,Southwest,United States,North America,Graduate Degree,Professional,50,2013-02-08,0-1 Miles,0,40K TO 80K,2,34.89,21.8411,1,2,1
295,27700,2,39.98,2,1,M,3,0,Australia,Australia,Pacific,Graduate Degree,Management,84,2013-05-11,0-1 Miles,1,40K TO 80K,2,39.98,25.0274,1,2,1
296,16362,4,2482.23,4,1,M,1,1,Southwest,United States,North America,Partial College,Clerical,60,2013-04-18,0-1 Miles,1,40K TO 80K,4,2482.23,912.7409,1,4,1
299,22104,3,553.97,3,1,M,4,1,Southwest,United States,North America,Partial College,Professional,55,2013-05-07,5-10 Miles,4,80k to 120k,3,553.97,205.0918,1,3,1
306,12286,3,1751.626,9,3,M,0,1,United Kingdom,United Kingdom,Europe,Graduate Degree,Skilled Manual,45,2012-05-16,0-1 Miles,0,40K TO 80K,9,5254.8782,2364.7972,3,3,1
307,16193,1,45.235,3,2,M,0,0,United Kingdom,United Kingdom,Europe,High School,Manual,37,2013-02-19,1-2 Miles,1,Below 40k,3,90.47,56.6342,2,1,1
313,28015,2,29.48,2,1,M,4,0,Northwest,United States,North America,High School,Professional,62,2013-05-27,1-2 Miles,2,40K TO 80K,2,29.48,18.4544,1,2,1
318,26541,1,24.99,1,1,F,0,1,Southwest,United States,North America,Partial College,Skilled Manual,36,2013-05-19,5-10 Miles,1,40K TO 80K,1,24.99,15.6437,1,1,1
319,17590,1,4.99,1,1,M,2,1,Northwest,United States,North America,Graduate Degree,Professional,39,2013-03-03,0-1 Miles,0,40K TO 80K,1,4.99,3.1237,1,1,1
320,19402,4,1254.47,4,1,M,0,1,Southwest,United States,North America,Graduate Degree,Professional,48,2013-02-10,2-5 Miles,1,40K TO 80K,4,1254.47,491.2816,1,4,1
321,19064,3,32.27,3,1,F,4,1,Germany,Germany,Europe,High School,Professional,62,2013-03-25,10+ Miles,2,80k to 120k,3,32.27,20.2009,1,3,1
327,19502,3,1782.6787,6,2,F,1,1,United Kingdom,United Kingdom,Europe,Bachelors,Skilled Manual,47,2012-11-07,0-1 Miles,0,40K TO 80K,6,3565.3575,1339.4971,2,3,1
330,14075,2,56.97,2,1,M,0,1,Southwest,United States,North America,High School,Skilled Manual,38,2013-04-23,5-10 Miles,2,Below 40k,2,56.97,35.6632,1,2,1
331,24391,3,42.84,3,1,F,2,1,Southwest,United States,North America,High School,Professional,59,2013-05-30,5-10 Miles,2,40K TO 80K,3,42.84,26.8178,1,3,1
334,21712,3,68.97,3,1,F,5,1,Southwest,United States,North America,Graduate Degree,Skilled Manual,57,2013-05-06,1-2 Miles,0,80k to 120k,3,68.97,21.7951,1,3,1
335,19671,2,1170.48,2,1,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,37,2013-03-26,5-10 Miles,2,40K TO 80K,2,1170.48,418.9079,1,2,1
338,14404,1,4.99,1,1,F,2,1,Northwest,United States,North America,Partial College,Professional,64,2013-02-22,2-5 Miles,2,40K TO 80K,1,4.99,3.1237,1,1,1
341,27431,1,2049.0982,1,1,M,2,0,Northwest,United States,North America,Partial College,Professional,59,2012-11-25,2-5 Miles,2,40K TO 80K,1,2049.0982,943.2882,1,1,1
348,13322,2,85.48,2,1,F,3,1,Northwest,United States,North America,Graduate Degree,Management,62,2013-05-09,5-10 Miles,2,40K TO 80K,2,85.48,53.5105,1,2,1
351,12930,2,2256.9212,4,2,F,5,1,Northwest,United States,North America,Graduate Degree,Professional,46,2012-01-11,2-5 Miles,0,40K TO 80K,4,4513.8425,1927.2309,2,2,1
352,15549,2,574.98,2,1,M,0,0,Canada,Canada,North America,Partial College,Skilled Manual,48,2013-01-11,2-5 Miles,1,40K TO 80K,2,574.98,263.0258,1,2,1
353,12738,2,1652.0094,7,3,F,1,1,Germany,Germany,Europe,Bachelors,Skilled Manual,42,2012-10-10,1-2 Miles,0,40K TO 80K,7,4956.0282,2227.6779,3,2,1
354,25728,2,574.98,2,1,M,3,0,United Kingdom,United Kingdom,Europe,Graduate Degree,Clerical,54,2013-03-08,0-1 Miles,0,Below 40k,2,574.98,218.2441,1,2,1
355,25473,1,4.99,1,1,F,1,1,France,France,Europe,Bachelors,Skilled Manual,49,2013-05-26,0-1 Miles,2,Below 40k,1,4.99,3.1237,1,1,1
359,22917,1,4.99,1,1,M,5,1,Australia,Australia,Pacific,Graduate Degree,Management,49,2013-03-03,0-1 Miles,3,80k to 120k,1,4.99,3.1237,1,1,1
361,29266,2,39.98,2,1,M,5,0,Canada,Canada,North America,Partial College,Professional,54,2013-04-05,1-2 Miles,3,80k to 120k,2,39.98,25.0274,1,2,1
362,28184,1,3578.27,1,1,F,1,1,Southwest,United States,North America,Partial College,Skilled Manual,44,2011-03-22,2-5 Miles,1,40K TO 80K,1,3578.27,1406.9758,1,1,1
369,14135,3,86.96,3,1,M,1,1,France,France,Europe,Partial College,Manual,71,2013-04-18,1-2 Miles,0,Below 40k,3,86.96,54.4369,1,3,1
371,20255,2,75.48,2,1,F,5,1,Australia,Australia,Pacific,Bachelors,Professional,44,2013-02-10,1-2 Miles,4,80k to 120k,2,75.48,25.8704,1,2,1
373,28267,3,64.47,3,1,F,1,1,Southwest,United States,North America,Partial College,Professional,54,2013-02-28,5-10 Miles,4,80k to 120k,3,64.47,40.3581,1,3,1
379,20046,8,691.91,8,1,M,1,1,France,France,Europe,Bachelors,Skilled Manual,41,2013-05-29,1-2 Miles,0,40K TO 80K,8,691.91,320.716,1,8,1
380,11281,2,2960.595,5,2,F,4,1,Southwest,United States,North America,Bachelors,Management,46,2011-09-13,5-10 Miles,4,80k to 120k,5,5921.19,2475.7004,2,2,1
382,16691,2,2235.87,4,2,F,0,0,Australia,Australia,Pacific,Graduate Degree,Management,48,2011-02-28,1-2 Miles,2,80k to 120k,4,4471.74,1812.9188,2,2,1
388,16302,1,24.99,1,1,F,4,1,France,France,Europe,High School,Manual,35,2013-04-23,0-1 Miles,2,Below 40k,1,24.99,15.6437,1,1,1
400,29157,1,3578.27,1,1,M,0,0,Southwest,United States,North America,Graduate Degree,Professional,42,2011-07-17,2-5 Miles,1,40K TO 80K,1,3578.27,1406.9758,1,1,1
403,28659,1,2443.35,1,1,F,1,1,Canada,Canada,North America,Graduate Degree,Professional,46,2012-01-24,2-5 Miles,0,40K TO 80K,1,2443.35,924.5636,1,1,1
404,28828,1,2164.805,3,2,F,2,1,Southwest,United States,North America,Graduate Degree,Professional,42,2011-06-09,2-5 Miles,0,40K TO 80K,3,4329.61,1689.9487,2,1,1
405,23747,4,1142.42,4,1,M,0,1,United Kingdom,United Kingdom,Europe,Partial High School,Manual,34,2013-04-25,1-2 Miles,2,Below 40k,4,1142.42,421.1383,1,4,1
407,17275,1,4.99,1,1,M,5,1,Southwest,United States,North America,Graduate Degree,Professional,56,2013-03-10,0-1 Miles,0,80k to 120k,1,4.99,3.1237,1,1,1
411,23939,2,1709.98,2,1,F,1,1,France,France,Europe,Bachelors,Skilled Manual,53,2013-04-06,0-1 Miles,1,40K TO 80K,2,1709.98,624.1077,1,2,1
416,13382,2,2262.9112,4,2,M,5,1,Southwest,United States,North America,Partial College,Professional,60,2012-02-12,1-2 Miles,2,40K TO 80K,4,4525.8225,1930.4422,2,2,1
417,22273,2,574.98,2,1,F,0,1,Southwest,United States,North America,Bachelors,Professional,49,2013-01-17,2-5 Miles,1,40K TO 80K,2,574.98,218.2441,1,2,1
424,13574,2,39.98,2,1,F,1,0,Germany,Germany,Europe,Partial College,Manual,47,2013-01-30,2-5 Miles,0,Below 40k,2,39.98,25.0274,1,2,1
426,27056,1,2071.4196,1,1,F,2,1,Southwest,United States,North America,Partial College,Clerical,55,2012-08-08,1-2 Miles,1,40K TO 80K,1,2071.4196,953.5637,1,1,1
429,29412,2,1335.9398,5,2,F,1,1,France,France,Europe,Bachelors,Skilled Manual,47,2012-08-09,0-1 Miles,1,40K TO 80K,5,2671.8796,1187.7582,2,2,1
432,28719,1,2384.07,1,1,M,0,0,Australia,Australia,Pacific,Bachelors,Professional,47,2013-02-04,0-1 Miles,1,40K TO 80K,1,2384.07,902.1321,1,1,1
434,11739,3,2379.015,6,2,M,2,1,Canada,Canada,North America,Graduate Degree,Professional,56,2013-01-13,0-1 Miles,1,40K TO 80K,6,4758.03,1990.2877,2,3,1
435,18214,2,3046.6,5,2,M,0,0,Australia,Australia,Pacific,High School,Management,43,2011-05-29,10+ Miles,4,80k to 120k,5,6093.2,2340.1869,2,2,1
437,25161,2,2438.06,2,1,F,3,1,Southwest,United States,North America,Bachelors,Management,45,2013-05-25,0-1 Miles,3,Above 120k,2,2438.06,914.5498,1,2,1
438,28032,3,75.47,3,1,F,2,1,Southwest,United States,North America,Bachelors,Management,67,2013-02-21,10+ Miles,1,40K TO 80K,3,75.47,27.4481,1,3,1
449,19611,1,3027.11,3,2,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,51,2011-08-21,0-1 Miles,1,40K TO 80K,3,6054.22,2315.7855,2,1,1
452,22559,1,4.99,1,1,F,1,1,United Kingdom,United Kingdom,Europe,Partial College,Manual,52,2013-02-13,0-1 Miles,0,Below 40k,1,4.99,3.1237,1,1,1
458,28201,2,2419.06,2,1,M,4,1,Australia,Australia,Pacific,Graduate Degree,Management,45,2013-01-19,0-1 Miles,0,80k to 120k,2,2419.06,924.0358,1,2,1
464,15861,2,7.28,2,1,M,4,1,Southwest,United States,North America,Partial College,Clerical,43,2013-02-01,0-1 Miles,2,40K TO 80K,2,7.28,4.5572,1,2,1
466,14387,4,898.46,4,1,F,5,1,Canada,Canada,North America,Bachelors,Management,68,2013-05-02,10+ Miles,3,40K TO 80K,4,898.46,407.0907,1,4,1
468,13305,2,71.97,2,1,M,4,1,Northwest,United States,North America,High School,Professional,49,2013-05-04,5-10 Miles,0,40K TO 80K,2,71.97,25.2572,1,2,1
469,28470,1,3399.99,1,1,F,2,0,France,France,Europe,Partial College,Manual,61,2011-09-04,0-1 Miles,1,Below 40k,1,3399.99,1487.8356,1,1,1
473,28327,4,2407.04,4,1,F,1,0,Australia,Australia,Pacific,Partial College,Skilled Manual,52,2013-02-15,0-1 Miles,1,40K TO 80K,4,2407.04,912.9512,1,4,1
480,26432,2,123.98,2,1,F,0,1,Australia,Australia,Pacific,Bachelors,Professional,39,2013-04-26,10+ Miles,3,80k to 120k,2,123.98,56.2314,1,2,1
482,13508,3,128.97,3,1,F,1,1,France,France,Europe,Graduate Degree,Clerical,77,2013-02-04,0-1 Miles,0,Below 40k,3,128.97,57.3791,1,3,1
488,20816,3,2114.36,6,2,M,0,1,Australia,Australia,Pacific,Bachelors,Clerical,34,2011-12-18,0-1 Miles,0,Below 40k,6,4228.72,1652.668,2,3,1
491,25287,1,1491.67,2,2,F,0,0,Canada,Canada,North America,Bachelors,Management,37,2012-01-29,0-1 Miles,1,80k to 120k,2,2983.34,1120.904,2,1,1
503,26853,3,786.33,3,1,M,2,1,France,France,Europe,Partial College,Manual,49,2013-05-08,0-1 Miles,0,Below 40k,3,786.33,304.8766,1,3,1
506,11550,2,2620.7141,5,2,F,0,1,United Kingdom,United Kingdom,Europe,Bachelors,Clerical,41,2012-01-20,0-1 Miles,0,40K TO 80K,5,5241.4282,2364.2258,3,1,1
512,27388,3,83.97,3,1,M,3,0,Northwest,United States,North America,Bachelors,Management,75,2013-04-12,1-2 Miles,2,40K TO 80K,3,83.97,32.7691,1,3,1
513,19562,1,2657.125,3,2,F,2,1,Australia,Australia,Pacific,Bachelors,Professional,46,2011-08-01,2-5 Miles,1,40K TO 80K,3,5314.25,2047.3595,2,1,1
514,17570,3,68.97,3,1,M,1,1,Northwest,United States,North America,Graduate Degree,Professional,45,2013-02-26,2-5 Miles,0,40K TO 80K,3,68.97,39.6151,1,3,1
521,20942,1,3.99,1,1,F,0,0,France,France,Europe,High School,Manual,34,2013-03-25,5-10 Miles,1,Below 40k,1,3.99,2.4977,1,1,1
524,24314,2,57.09,2,1,M,2,1,Southwest,United States,North America,Bachelors,Management,49,2013-03-17,2-5 Miles,4,Above 120k,2,57.09,35.7383,1,2,1
529,19359,1,1739.3887,3,2,M,1,1,United Kingdom,United Kingdom,Europe,Bachelors,Skilled Manual,51,2012-06-27,0-1 Miles,0,40K TO 80K,3,3478.7775,1305.0941,2,1,1
530,15423,1,4.99,1,1,M,0,0,Northwest,United States,North America,High School,Skilled Manual,36,2013-03-10,5-10 Miles,2,40K TO 80K,1,4.99,3.1237,1,1,1
532,21915,3,570.47,3,1,M,1,1,Southwest,United States,North America,Partial College,Skilled Manual,53,2013-03-11,2-5 Miles,1,40K TO 80K,3,570.47,211.8608,1,3,1
534,28845,1,2160.31,2,2,F,2,1,Northwest,United States,North America,Bachelors,Skilled Manual,46,2011-06-06,2-5 Miles,0,40K TO 80K,2,4320.62,1687.881,2,1,1
535,19107,1,69.99,1,1,M,4,1,Northwest,United States,North America,Partial College,Professional,45,2013-05-10,2-5 Miles,2,80k to 120k,1,69.99,43.8137,1,1,1
