CustomerKey,TotalOrderNumber,TotalSpent,TotalProfit,TotalTransaction,AverageBasket
18446,1,21.4900,13.4527,1,1
21002,3,2992.3300,1126.5317,2,1
29117,1,9.9900,6.2537,1,1
15154,3,109.9700,49.0451,2,1
12237,5,4470.3896,2053.8156,2,2
27534,1,2071.4196,953.5637,1,1
15177,2,7.2800,4.5572,1,2
26014,4,4713.3300,2009.1895,2,2
13448,1,21.9800,13.7595,1,1
20418,4,4207.2400,1637.6376,2,2
13657,5,4819.3000,1994.8972,2,2
22147,1,69.9900,43.8137,1,1
18921,2,94.4800,59.1444,1,2
23767,2,13.9800,8.7514,1,2
22270,4,608.9600,239.5155,1,4
12260,5,241.7600,127.9856,2,2
29031,3,64.4700,40.3581,1,3
17733,4,4758.2400,1851.6204,2,2
22061,2,1145.4800,423.0539,1,2
25891,2,5759.0600,2379.0277,2,1
28808,1,24.9900,15.6437,1,1
27872,2,2393.0600,904.1998,1,2
28204,2,2419.0600,924.0358,1,2
20627,5,6044.5900,2306.1970,2,2
20541,2,1174.4800,419.8279,1,2
16004,6,2518.2500,1182.7694,1,6
16213,6,154.5400,76.9459,3,2
24955,1,742.3500,280.9052,1,1
29392,2,2393.0600,907.7598,1,2
18317,5,84.7400,53.0471,3,1
19153,1,69.9900,43.8137,1,1
24417,6,2467.0200,954.0586,1,6
27620,3,88.9700,55.6951,1,3
26684,3,4468.1582,1867.3240,2,1
11928,3,47.9400,30.0104,2,1
29240,3,68.9700,39.6151,1,3
16797,4,1732.2600,638.0549,1,4
19482,3,1854.5782,715.2658,2,1
19980,2,94.4800,59.1444,1,2
11324,4,5945.2300,2475.2417,2,2
22708,3,88.9700,55.6951,1,3
23206,3,69.9700,43.8011,1,3
19505,3,53.4700,33.4721,1,3
12535,1,8.9900,2.0677,1,1
26123,3,64.9700,40.6711,1,3
12512,1,8.9900,2.0677,1,1
27311,2,33.9800,21.2714,1,2
12821,7,124.9400,78.2122,2,3
21234,2,119.9800,55.3114,1,2
21477,3,23.9700,11.4451,1,3
15068,5,80.9400,47.1083,1,5
14593,2,7.2800,4.5572,1,2
28095,1,2.2900,1.4335,1,1
17424,4,2423.4800,1119.1552,1,4
21211,4,4900.6800,1821.7171,2,2
20650,2,1174.4800,419.8279,1,2
24978,4,155.0800,97.0800,1,4
17710,6,113.9400,67.7662,2,3
25708,4,1253.0682,491.0437,2,2
17003,4,2416.4500,1094.9584,1,4
22837,3,69.9700,43.8011,1,3
25493,6,1243.4400,461.0207,1,6
11453,6,8176.9800,3494.7023,3,2
18523,5,160.9400,77.3923,2,2
22768,4,600.4600,234.1945,1,4
28433,1,32.6000,20.4076,1,1
15698,3,42.2800,26.4672,1,3
12758,3,74.9800,46.9374,1,3
27082,1,782.9900,296.2834,1,1
17172,2,68.4900,42.8747,1,2
21463,3,23.9700,11.4451,1,3
24288,3,71.5800,44.8090,1,3
12927,5,108.4600,64.3358,2,2
15798,4,98.9600,61.9488,2,2
26913,4,607.9600,217.5095,1,4
24188,2,12.9400,8.1004,1,2
14447,5,3385.3975,1470.0339,2,2
14278,5,177.4600,91.2938,2,2
27013,3,36.2700,22.7049,1,3
14178,3,86.5800,34.4030,1,3
12658,7,6863.4396,2958.0091,3,2
25393,1,2443.3500,924.5636,1,1
16903,1,4.9900,3.1237,1,1
28702,5,1193.4500,449.5230,1,5
11722,5,153.4600,74.6858,2,2
22937,3,4179.3300,1564.9473,2,1
27182,2,1174.4800,419.8279,1,2
23873,4,628.9700,252.0418,1,4
15967,1,4.9900,3.1237,1,1
20979,4,1947.4600,727.6650,2,2
17487,2,7.2800,4.5572,1,2
11238,9,7542.7700,3241.5104,4,2
21417,2,1155.4800,429.3139,1,2
11138,4,78.9700,49.4351,2,2
18423,1,4.9900,3.1237,1,1
19943,3,3112.9700,1356.9076,2,1
20043,2,32.2800,20.2072,1,2
20312,1,4.9900,3.1237,1,1
18154,5,66.4400,41.5913,1,5
15214,6,4490.8796,2070.2023,2,3
19007,1,69.9900,43.8137,1,1
19459,3,3478.7775,1305.0941,2,1
12389,1,49.9900,11.4977,1,1
11991,6,8128.0200,3464.0533,3,2
25977,3,4624.8300,1958.4985,2,1
24726,3,71.5800,44.8090,1,3
25224,2,7.2800,4.5572,1,2
13242,2,56.9700,35.6632,1,2
25124,3,64.4700,40.3581,1,3
26077,2,7.2800,4.5572,1,2
15114,7,6918.8725,2842.4839,3,2
23352,1,539.9900,196.3404,1,1
27849,2,39.9800,25.0274,1,2
27949,3,553.9700,205.0918,1,3
23252,2,14.9800,9.3774,1,2
14547,5,192.9500,99.4065,2,2
13342,3,32.2200,20.1697,1,3
20212,6,100.7400,38.1230,2,3
28533,1,4.9900,3.1237,1,1
22668,2,1174.4800,419.8279,1,2
12489,8,157.9200,95.2976,4,2
19628,4,6035.6000,2304.1293,2,2
17856,3,32.2700,20.2009,1,3
19528,2,78.9800,45.8814,1,2
22084,3,69.9700,43.8011,1,3
17756,4,2715.4075,1022.0197,2,2
22316,4,617.4700,244.8428,1,4
16150,3,629.9700,297.4495,1,3
26561,4,1336.9600,501.3752,2,2
26229,2,2419.0600,924.0358,1,2
20395,3,1179.9700,444.6446,1,3
18071,2,68.4900,42.8747,1,2
23335,2,32.2800,20.2072,1,2
19376,2,29.4800,18.4544,1,2
14845,2,7.2800,4.5572,1,2
22101,2,32.2800,20.2072,1,2
19090,3,59.2600,37.0967,2,1
15131,4,81.2600,31.0726,2,2
25041,1,32.6000,20.4076,1,1
12406,1,35.0000,21.9100,1,1
16319,2,27.2800,17.0772,1,2
26060,3,5794.0500,2400.9314,2,1
20796,3,88.9700,35.8991,1,3
28954,2,2393.0600,904.1998,1,2
23790,4,46.8300,29.3155,1,4
17670,1,539.9900,196.3404,1,1
23621,3,2309.9700,1052.3861,1,3
28785,1,34.9900,21.9037,1,1
12575,3,2668.0782,1212.4780,2,1
21065,5,1549.1100,653.9477,2,2
17839,3,34.9700,21.8911,2,1
13511,5,6012.2300,2509.3354,2,2
14530,5,72.8600,45.6102,2,2
13594,2,44.9800,28.1574,1,2
19545,3,1179.4700,420.9756,1,3
24809,2,2419.0600,924.0358,1,2
20481,2,1170.4800,418.9079,1,2
16651,2,13.9800,5.1914,1,2
21815,3,64.4700,40.3581,1,3
14095,4,1802.2075,764.7071,2,2
29286,2,13.9800,5.1914,1,2
27766,3,827.3300,314.3066,1,3
24371,4,4193.8200,1574.0180,2,2
13010,8,5716.5196,2516.0042,3,2
16067,6,664.8900,319.3094,1,6
11822,3,87.2800,34.8412,2,1
22399,3,2785.0525,1096.9701,2,1
26644,4,2805.4282,1232.9448,2,2
23704,4,600.4600,234.1945,1,4
12841,3,5933.2500,2483.2500,2,1
15781,5,3209.9400,1397.8148,2,2
28350,2,13.9800,5.1914,1,2
14762,1,4.9900,3.1237,1,1
29369,4,2422.5400,926.2142,1,4
11155,1,2319.9900,1054.3705,1,1
21732,4,83.4700,52.2521,1,4
16734,3,128.9700,39.5591,2,1
17255,4,4442.2400,1815.8318,2,2
19960,4,6120.1100,2357.0326,2,2
28616,1,120.0000,75.1200,1,1
28118,4,588.9600,226.9955,1,4
22685,4,600.4600,234.1945,1,4
18506,5,101.9400,63.8143,2,2
24457,3,3356.0425,1280.7066,2,1
16820,7,3217.7900,1436.8755,2,3
17318,3,43.9700,23.9651,2,1
14401,3,15.2300,9.5339,1,3
13488,2,141.9800,88.8795,1,2
17816,3,37.2700,23.3309,1,3
21646,3,563.7700,211.2266,1,3
21042,2,1155.4800,429.3139,1,2
25370,4,1263.8200,490.3543,1,4
14699,2,78.9800,28.0614,1,2
28287,3,103.4800,64.7784,1,3
23959,2,38.9800,24.4014,1,2
14072,2,74.9800,27.1414,2,1
17902,4,4158.3200,1551.7950,2,2
22230,5,4223.2300,1694.0130,2,2
24786,1,2443.3500,924.5636,1,1
11759,3,8054.0500,3422.0364,3,1
28573,1,3578.2700,1406.9758,1,1
20458,3,49.9700,31.2811,1,3
14115,3,3297.7175,1439.2305,2,1
28871,5,4414.5900,1723.3501,2,2
24543,2,53.9800,13.9954,1,2
24002,5,2744.5225,1071.5982,2,2
13992,4,1802.2075,764.7071,2,2
19565,4,5308.2400,2043.5972,2,2
22482,2,39.9800,25.0274,1,2
11075,5,8068.0300,3430.7878,3,1
17550,1,4.9900,3.1237,1,1
16030,6,73.5400,46.0358,2,3
13113,7,6832.4096,2945.7044,3,2
17527,2,12.9400,8.1004,1,2
11098,4,88.9600,34.3088,3,1
13090,6,6812.4182,2936.8875,3,2
18045,4,3941.5325,1496.4841,2,2
29475,1,3399.9900,1487.8356,1,1
18068,2,2439.9900,1129.4905,1,2
11593,3,5908.2500,2467.6000,2,1
20083,2,39.9800,25.0274,1,2
20106,4,131.9500,62.8046,2,2
21603,4,567.7600,213.7243,1,4
19588,3,6056.6100,2317.2816,2,1
19465,1,4.9900,3.1237,1,1
19047,4,71.9500,45.0406,1,4
12077,9,174.6800,109.3494,4,2
25061,1,2443.3500,924.5636,1,1
16548,2,4624.9125,1749.2808,2,1
13013,7,256.2400,160.4060,3,2
23000,4,94.4600,59.1318,1,4
23541,3,3337.0425,1290.1926,2,1
27955,2,38.9800,24.4014,1,2
25556,4,1253.0682,491.0437,2,2
17089,3,64.9700,40.6711,1,3
14533,6,160.5500,100.5041,2,3
24520,3,2462.5500,929.8805,1,3
15028,3,3826.3996,1584.4614,2,1
12618,5,5923.2300,2481.2656,2,2
14092,2,56.9700,35.6632,1,2
26535,3,64.9700,40.6711,1,3
27076,1,2071.4196,953.5637,1,1
14633,11,242.5000,132.0087,3,3
28496,1,69.9900,43.8137,1,1
19983,1,1120.4900,407.4102,1,1
22562,2,30.4800,15.5204,1,2
28639,4,190.2700,119.1089,1,4
26624,3,2826.4382,1246.0971,2,1
12134,5,97.4500,36.0635,2,2
20624,2,6021.6200,2295.3779,2,1
22021,3,23.9700,11.4451,1,3
29180,4,2452.0400,923.3012,1,4
20524,3,68.9700,21.7951,1,3
20006,2,1155.4800,429.3139,1,2
18752,2,119.9800,55.3114,1,2
22539,4,98.9600,38.5928,1,4
28662,4,4827.1000,1887.9464,2,2
17009,3,2351.9600,1078.6719,1,3
25038,2,2438.0600,914.5498,1,2
23023,2,32.2800,20.2072,1,2
25479,5,1799.9500,660.6328,1,5
15151,2,4344.0882,1986.2969,2,1
25722,2,777.3400,302.8089,1,2
17066,5,105.7500,46.4033,2,2
21151,2,1155.4800,429.3139,1,2
13136,3,62.2700,38.9809,2,1
25579,2,39.9800,25.0274,1,2
12595,3,40.2700,21.6489,2,1
24938,3,38.8800,24.3388,1,3
13279,4,4533.5225,1939.5506,2,2
17607,2,54.9800,14.6214,1,2
14610,2,1468.5882,635.6635,2,1
25181,1,32.6000,20.4076,1,1
15051,4,6650.6000,2752.7934,3,1
23707,3,565.4700,212.2908,1,3
23166,3,556.9300,206.9448,1,3
26953,3,786.3300,304.8766,1,3
27494,5,1952.4500,734.3487,2,2
14510,5,3036.3682,1355.4278,2,2
22648,2,2475.9500,908.8097,1,2
19731,2,78.9800,45.8814,1,2
17716,2,2701.4275,1013.2683,2,1
24663,2,58.9800,15.5414,1,2
19708,1,564.9900,256.7721,1,1
26183,1,2071.4196,953.5637,1,1
29100,4,102.9600,39.5128,1,4
14776,3,5908.2500,2471.8882,2,1
21769,2,603.4900,236.0914,1,2
24686,3,38.8800,24.3388,1,3
24168,5,2790.5225,1100.3942,2,2
14799,5,162.9500,78.6505,2,2
26701,2,39.9800,25.0274,1,2
26724,1,2049.0982,943.2882,1,1
18234,2,1754.9800,630.8977,1,2
11427,9,9917.9900,4129.9647,4,2
16296,5,122.9500,53.6105,1,5
20249,3,5333.2500,2037.8735,2,1
17693,2,13.9800,5.1914,1,2
15678,10,7223.3400,2904.3863,3,3
28121,2,119.9800,55.3114,1,2
12220,4,5950.2300,2498.1677,2,2
25204,2,1249.8400,481.6029,1,2
14281,7,4746.3000,1987.2329,2,3
14885,2,1155.4800,429.3139,1,2
18672,3,128.9700,57.3791,1,3
23627,2,38.9800,24.4014,1,2
19213,2,1155.4800,429.3139,1,2
15317,2,54.9800,14.6214,1,2
21228,3,3936.5425,1491.7764,2,1
16900,2,7.2800,4.5572,1,2
12761,4,5929.2300,2480.7335,2,2
23189,4,600.4600,234.1945,1,4
14009,3,63.9700,40.0451,2,1
14507,2,39.9800,25.0274,1,2
18337,2,6021.6200,2295.3779,2,1
11367,4,86.2600,34.2026,2,2
24351,2,2393.0600,904.1998,1,2
28679,2,27.2800,17.0772,1,2
21254,3,89.9700,36.5251,1,3
18008,4,2459.0682,917.9973,2,2
13680,5,5948.2400,2492.6337,2,2
24394,2,36.5900,22.9053,1,2
20066,2,1170.4800,418.9079,1,2
15738,3,166.2800,104.0912,1,3
22622,2,58.9800,15.5414,1,2
18294,3,78.2600,27.6107,2,1
13923,2,56.9700,35.6632,1,2
26950,2,777.3400,302.8089,1,2
28181,1,3578.2700,1406.9758,1,1
11951,8,63.5200,36.2032,3,2
21838,1,4.9900,3.1237,1,1
26707,2,33.9800,21.2714,1,2
27368,3,132.9700,58.2991,1,3
18878,5,2390.9500,1095.2314,1,5
23833,4,722.7700,310.7606,1,4
16863,3,64.4700,40.3581,1,3
28765,1,3578.2700,1406.9758,1,1
29406,3,68.9700,43.1751,1,3
28888,2,39.9800,25.0274,1,2
20398,3,68.9700,21.7951,1,3
28247,2,5962.3400,2309.1079,2,1
28788,1,8.9900,2.0677,1,1
18360,2,1750.9800,629.9777,1,2
20375,4,4438.3796,2021.8296,2,2
20916,4,119.9600,55.2988,1,4
13405,11,10778.6100,4289.3026,4,2
26389,3,36.2700,22.7049,1,3
24812,2,82.5900,31.9053,1,2
11390,3,48.9700,30.6551,1,3
26827,2,1750.9800,629.9777,1,2
21872,2,34.9800,21.8974,1,2
16940,3,5006.7000,1888.0857,2,1
28347,4,73.9600,46.2988,1,4
23933,3,563.7700,211.2266,1,3
26332,2,49.4800,30.9744,1,2
23392,3,553.9700,205.0918,1,3
23292,2,34.9800,21.8974,1,2
14925,2,2721.5525,1106.2890,2,1
25848,2,27.2800,17.0772,1,2
12864,6,86.2400,53.9860,2,3
25353,2,27.2800,17.0772,1,2
13700,4,4525.8225,1930.4422,2,2
24912,2,2120.9275,802.1985,2,1
22897,4,561.9200,210.0685,1,4
14241,3,84.9200,53.1599,1,3
14218,9,5651.8782,2504.1763,3,3
19173,3,1594.4175,652.6163,2,1
22874,2,548.9800,198.4081,1,2
27829,2,39.9800,25.0274,1,2
20859,3,2508.9700,930.4071,2,1
25791,3,60.4700,37.8541,1,3
17819,1,3.9900,2.4977,1,1
15904,4,1394.9500,566.9509,2,2
17919,3,4733.7500,1836.2897,2,1
15927,6,6932.9025,2851.2667,3,2
18460,2,2341.9700,1068.1300,1,2
17942,4,3896.5325,1488.1101,2,2
11201,6,180.9400,93.4723,2,3
19857,1,69.9900,43.8137,1,1
17842,3,37.2700,23.3309,1,3
17301,2,74.9800,27.1414,2,1
11301,5,131.2600,60.7886,2,2
11842,4,98.9700,38.5991,2,2
21729,3,49.9700,31.2811,1,3
20318,3,3241.8996,1372.4716,2,1
17401,2,2329.9900,1064.9187,1,2
24646,1,3578.2700,1406.9758,1,1
15386,1,4.9900,3.1237,1,1
28370,5,638.9500,238.4932,1,5
19714,2,548.9800,247.4780,1,2
12987,4,6759.4696,2904.3322,3,1
23315,3,15.2300,9.5339,1,3
17315,3,6030.6100,2301.0056,2,1
14902,3,1538.5782,679.4772,2,1
23415,3,3588.8300,1347.6175,2,1
14759,2,7.2800,4.5572,1,2
22774,1,29.9900,18.7737,1,1
16774,2,54.9800,14.6214,1,2
12446,4,5944.7300,2490.4365,2,2
15443,2,7.2800,4.5572,1,2
25330,3,100.0900,62.6563,1,3
12346,5,6864.4596,2944.3877,3,1
12887,1,21.9800,13.7595,1,1
16674,6,76.1500,47.6697,2,3
25871,3,64.9700,40.6711,1,3
18735,2,6021.6200,2295.3779,2,1
23667,3,2398.0500,910.8835,1,3
27202,4,96.9200,60.6718,1,4
18712,2,24.2700,15.1930,2,1
23690,2,38.9800,24.4014,1,2
25682,2,38.9800,24.4014,1,2
25187,3,71.5800,44.8090,1,3
13780,2,59.4900,37.2407,1,2
25705,3,1274.0782,504.1960,2,1
20750,4,1184.4600,447.4553,1,4
25164,2,34.8900,21.8411,1,2
11742,5,5915.5400,2476.4517,2,2
20232,4,91.9500,57.5606,1,4
23149,2,32.2800,20.2072,1,2
22247,5,5978.6100,2319.2928,2,2
14298,5,3365.6675,1477.4790,2,2
13757,3,86.9600,54.4369,1,3
22788,4,603.9600,216.5895,1,4
24185,2,7.2800,4.5572,1,2
22170,4,2745.3325,1072.1053,2,2
21629,3,2624.0782,1161.5323,2,1
11828,3,93.9800,37.4514,2,1
16156,2,4344.0882,1986.2969,2,1
29140,1,3578.2700,1406.9758,1,1
15277,5,96.4400,60.3713,1,5
28261,4,27.9200,17.4778,1,4
19691,3,569.9700,264.1777,1,3
18217,3,6056.6100,2317.2816,2,1
13262,5,86.9500,47.3105,2,2
17676,2,603.4900,236.0914,1,2
14736,2,85.4800,53.5105,1,2
27720,2,39.9800,25.0274,1,2
19253,2,1540.4275,640.1986,2,1
16697,3,87.0800,54.5120,2,1
12990,4,6829.4696,2922.4840,3,1
21148,3,3223.5782,1363.1161,2,1
25476,1,4.9900,3.1237,1,1
27597,5,564.2100,211.5020,1,5
16236,4,98.9600,38.5928,1,4
20564,4,3059.0782,1365.3561,2,2
14464,4,3357.7175,1472.5023,2,2
18792,3,1775.4700,645.3084,1,3
13425,4,4810.3100,1992.8295,2,2
27099,1,782.9900,296.2834,1,1
22920,4,91.9500,57.5606,1,4
25625,4,2433.0400,932.7872,1,4
24474,2,3882.5525,1479.3587,2,1
15984,3,3124.9600,1364.4134,2,1
11052,7,8131.3200,3470.4073,3,2
19542,3,579.9700,266.1495,1,3
22436,4,607.9600,217.5095,1,4
18022,3,63.9700,40.0451,1,3
17504,4,4362.7400,1766.0648,2,2
27414,1,4.9900,3.1237,1,1
17404,2,1709.9800,620.5477,1,2
21062,3,563.7700,211.2266,1,3
29452,1,742.3500,280.9052,1,1
20962,2,6.2800,3.9312,1,2
18091,2,1750.9800,629.9777,1,2
19442,3,1602.4700,657.4927,2,1
28934,3,64.4700,40.3581,1,3
19024,4,699.9700,341.2695,1,4
18924,2,839.4800,393.5253,1,2
20129,2,119.9800,55.3114,1,2
16986,2,68.4900,42.8747,1,2
21480,2,39.9800,25.0274,1,2
24374,1,21.4900,13.4527,1,1
18609,3,1785.9700,651.8814,1,3
21918,3,68.9700,21.7951,1,3
11639,5,127.2600,59.8686,2,2
13159,8,208.1800,108.9404,3,2
25894,2,49.4800,30.9744,1,2
12572,2,2611.4096,1198.9740,2,1
12910,2,56.9700,35.6632,1,2
25307,3,1759.9700,632.0454,1,3
12472,1,49.9900,11.4977,1,1
15466,3,1587.4700,667.8987,2,1
22751,4,133.4700,83.5521,1,4
28450,3,68.9700,43.1751,1,3
24271,4,2745.3325,1072.1053,2,2
13946,1,21.9800,13.7595,1,1
23438,3,123.4800,77.2984,1,3
26930,4,1263.8200,490.3543,1,4
11536,5,5915.5400,2476.4517,2,2
27617,4,5976.3200,2317.8593,2,2
25994,5,4626.1100,1959.2997,2,2
15715,3,39.9700,25.0211,2,1
22233,3,5997.3300,2331.0116,2,1
16233,4,114.4600,51.8558,1,4
21331,4,2670.8896,1187.1385,2,2
12675,5,6812.7696,2933.4098,3,1
21165,5,4673.8825,1779.9359,2,2
27165,1,3.9900,2.4977,1,1
24105,2,2419.0600,924.0358,1,2
29037,1,69.9900,43.8137,1,1
29303,2,2419.0600,924.0358,1,2
20647,2,1155.4800,429.3139,1,2
16468,3,63.9700,40.0451,1,3
18775,1,69.9900,43.8137,1,1
20547,2,56.9700,35.6632,1,2
19293,3,2533.9700,926.2611,2,1
29203,4,4334.6000,1696.6324,2,2
21998,2,56.9800,35.6695,1,2
26661,3,1912.4700,709.3213,2,1
12054,11,402.5300,251.9835,5,2
