CustomerKey,AverageVisitPerMonth,AverageSpentEachMonth,TotalVisit,TotalMonth
26083,1,2897.0250,3,2
28954,2,2393.0600,2,1
13465,2,75.9700,2,1
28785,1,34.9900,1,1
29031,3,64.4700,3,1
12575,1,1334.0391,3,2
22061,2,1145.4800,2,1
17733,2,2379.1200,4,2
24872,2,23.7800,2,1
16843,3,89.9700,3,1
29200,2,6.2800,2,1
21019,4,629.9600,4,1
14676,2,2594.2041,5,2
14922,1,4.9900,1,1
19545,3,1179.4700,3,1
18317,2,42.3700,5,2
21815,3,64.4700,3,1
20587,5,2378.9500,5,1
16259,1,1378.2712,3,2
25456,1,4.9900,1,1
26684,1,2234.0791,3,2
28158,1,2998.6650,3,2
23289,2,34.9800,2,1
18961,4,2369.9600,4,1
18486,1,3010.8100,2,2
11822,1,43.6400,3,2
27142,4,791.3200,4,1
22399,3,2785.0525,3,1
23704,4,600.4600,4,1
20003,3,579.9700,3,1
11347,2,13.9800,2,1
29369,4,2422.5400,4,1
11516,2,2957.7700,5,2
20172,1,1575.1991,3,2
16734,1,64.4850,3,2
23398,3,553.9700,3,1
12821,3,62.4700,7,2
27311,2,33.9800,2,1
21477,3,23.9700,3,1
19960,2,3060.0550,4,2
28616,1,120.0000,1,1
15091,2,39.9800,2,1
18529,2,39.9800,2,1
25931,2,27.2800,2,1
24457,1,1678.0212,3,2
15260,4,45.9500,4,1
12990,1,2276.4898,4,3
21646,3,563.7700,3,1
17318,3,43.9700,3,1
14507,2,39.9800,2,1
13617,1,47.3033,5,3
22230,2,2111.6150,5,2
17902,2,2079.1600,4,2
18792,3,1775.4700,3,1
28573,1,3578.2700,1,1
14464,2,1678.8587,4,2
13923,2,56.9700,2,1
27099,1,782.9900,1,1
13033,4,45.9500,4,1
25625,4,2433.0400,4,1
24474,1,1941.2762,2,2
18901,1,35.0000,1,1
11052,2,2710.4400,7,3
16030,3,36.7700,6,2
18022,3,63.9700,3,1
29429,3,60.4700,3,1
17504,2,2181.3700,4,2
22459,1,539.9900,1,1
21062,3,563.7700,3,1
19419,1,801.2350,3,2
28911,1,4.9900,1,1
11593,1,2954.1250,3,2
21603,4,567.7600,4,1
18360,2,1750.9800,2,1
20375,2,2219.1898,4,2
19588,1,3028.3050,3,2
20129,2,119.9800,2,1
13405,3,3592.8700,11,3
26389,3,36.2700,3,1
24812,2,82.5900,2,1
16548,1,2312.4562,2,2
11390,3,48.9700,3,1
23933,3,563.7700,3,1
23000,4,94.4600,4,1
27955,2,38.9800,2,1
13159,2,69.3933,8,3
15074,2,85.4800,2,1
11931,3,117.2200,7,2
24915,1,1072.9587,3,2
17089,3,64.9700,3,1
26286,3,1654.0841,6,2
12864,3,43.1200,6,2
24271,4,2745.3325,4,1
26930,4,1263.8200,4,1
12618,2,2961.6150,5,2
14633,3,80.8333,11,3
14092,2,56.9700,2,1
27617,2,2988.1600,4,2
19316,1,1350.7137,2,2
19173,1,797.2087,3,2
22874,2,548.9800,2,1
14218,4,2825.9391,9,2
16445,1,1621.4150,3,2
28496,1,69.9900,1,1
20647,2,1155.4800,2,1
15904,2,697.4750,4,2
17919,1,2366.8750,3,2
20790,2,14.9800,2,1
26624,1,1413.2191,3,2
18775,1,69.9900,1,1
21188,4,123.9600,4,1
11178,3,72.3800,6,2
17301,1,37.4900,2,2
17842,3,37.2700,3,1
19834,2,119.9800,2,1
24397,3,38.8800,3,1
18148,1,759.2891,3,2
13820,1,2954.1300,3,2
19714,2,548.9800,2,1
13677,2,39.9800,2,1
28370,5,638.9500,5,1
15386,1,4.9900,1,1
21941,2,1174.4800,2,1
21400,2,1344.4448,5,2
15151,2,4344.0882,2,1
23415,1,1794.4150,3,2
17607,2,54.9800,2,1
15692,3,4196.1500,7,2
23856,2,603.4900,2,1
13279,2,2266.7612,4,2
11805,2,64.4850,4,2
25330,3,100.0900,3,1
16674,3,38.0750,6,2
12346,1,2288.1532,5,3
16133,2,54.9400,8,3
25871,3,64.9700,3,1
23644,2,39.9800,2,1
19731,2,78.9800,2,1
17716,1,1350.7137,2,2
27202,4,96.9200,4,1
24686,3,38.8800,3,1
20773,2,30.9700,2,1
26160,1,969.2350,3,2
24168,2,1395.2612,5,2
18758,4,79.2550,9,2
13803,3,186.2800,3,1
26701,2,39.9800,2,1
14321,1,38.6350,3,2
20232,4,91.9500,4,1
22247,2,2989.3050,5,2
18257,2,57.9750,4,2
20249,1,2666.6250,3,2
23103,2,85.4800,2,1
21629,1,1312.0391,3,2
22170,2,1372.6662,4,2
27039,1,4.9900,1,1
25642,3,583.9700,3,1
14235,4,2841.0998,8,2
29140,1,3578.2700,1,1
12220,2,2975.1150,4,2
21706,4,99.9600,4,1
17378,2,39.9800,2,1
28261,4,27.9200,4,1
15277,5,96.4400,5,1
19299,1,793.7037,3,2
13262,2,43.4750,5,2
18672,3,128.9700,3,1
23627,2,38.9800,2,1
14736,2,85.4800,2,1
12761,2,2964.6150,4,2
25745,4,2473.0400,4,1
11287,5,106.0972,62,11
15615,3,35.1200,7,2
28599,1,7.9500,1,1
28802,1,2443.3500,1,1
24059,3,583.9700,3,1
20146,1,3.9900,1,1
13388,3,106.9600,3,1
22044,4,607.9600,4,1
11702,2,48.1350,4,2
20358,2,123.9800,2,1
13694,2,52.7800,5,2
29014,3,63.9700,3,1
13176,2,2376.6600,4,2
26787,3,60.4700,3,1
21832,2,39.9800,2,1
18131,3,3021.3782,3,1
11467,1,18.6233,5,3
25313,1,3.9900,1,1
27454,2,7.2800,2,1
22585,3,553.9700,3,1
25227,2,39.9800,2,1
12847,1,24.9900,1,1
27540,2,2252.2298,5,2
23518,1,4.9900,1,1
19190,2,27.2800,2,1
14862,2,32.2800,2,1
27846,4,791.3200,4,1
28928,3,2473.0500,3,1
21291,2,1735.9800,2,1
12635,1,49.9900,1,1
16963,2,39.9800,2,1
12008,1,26.7500,5,3
15489,2,842.7250,5,2
11161,3,46.9750,6,2
19817,3,59.4700,6,2
28081,2,25.4800,2,1
19233,1,69.9900,1,1
23501,3,37.2700,3,1
24829,2,34.8900,2,1
27700,2,39.9800,2,1
16362,4,2482.2300,4,1
29097,2,548.9800,2,1
12117,1,79.9950,3,2
22104,3,553.9700,3,1
17836,2,32.2800,2,1
24975,3,67.9300,3,1
13491,4,88.2050,9,2
15157,2,71.3133,7,3
26226,1,4.9900,1,1
13591,3,2785.0900,9,3
12286,3,1751.6260,9,3
16193,1,45.2350,3,2
13760,3,65.9366,11,3
14965,2,1376.9112,5,2
20484,4,1151.7600,4,1
20876,3,1938.4700,3,1
12363,2,68.4750,11,4
28015,2,29.4800,2,1
11035,1,2150.4366,5,3
23186,2,548.9800,2,1
27623,2,2992.1350,5,2
18918,2,78.9800,2,1
26541,1,24.9900,1,1
17590,1,4.9900,1,1
19402,4,1254.4700,4,1
19064,3,32.2700,3,1
16800,2,25.2800,6,3
20630,3,74.9800,3,1
21958,2,2348.2462,5,2
11925,2,2984.1150,5,2
18028,3,3001.0425,3,1
19502,3,1782.6787,6,2
14573,2,39.9800,2,1
26810,3,67.9300,3,1
14075,2,56.9700,2,1
24391,3,42.8400,3,1
13007,1,1890.4132,5,3
12509,2,27.6166,6,3
21712,3,68.9700,3,1
19671,2,1170.4800,2,1
17444,2,124.9900,2,1
11848,2,46.1350,4,2
14404,1,4.9900,1,1
24583,3,2487.3300,3,1
26618,1,1413.2191,3,2
27431,1,2049.0982,1,1
28513,4,811.3200,4,1
22711,4,588.9600,4,1
16047,1,4.9900,1,1
25957,4,89.4600,4,1
25144,2,25.4800,2,1
26057,3,2963.7550,7,2
13322,2,85.4800,2,1
16631,1,2950.2750,3,2
19877,1,69.9900,1,1
12930,2,2256.9212,4,2
15549,2,574.9800,2,1
12738,2,1652.0094,7,3
25728,2,574.9800,2,1
25473,1,4.9900,1,1
21145,3,69.9700,3,1
28284,3,563.7700,3,1
18589,4,1768.9600,4,1
22917,1,4.9900,1,1
11364,1,1640.6066,4,3
29266,2,39.9800,2,1
28184,1,3578.2700,1,1
18403,4,2318.9600,4,1
20063,3,64.9700,3,1
23999,1,1365.2712,3,2
24331,2,548.9800,2,1
17384,3,1760.4700,3,1
13116,2,76.7500,6,3
14135,3,86.9600,3,1
24500,3,71.5800,3,1
20255,2,75.4800,2,1
28075,4,88.4200,4,1
28267,3,64.4700,3,1
22857,1,2443.3500,2,2
12947,2,2253.7612,4,2
11473,2,62.9800,2,1
11719,2,71.8000,11,4
15718,1,31.9850,3,2
20046,8,691.9100,8,1
11281,2,2960.5950,5,2
15609,2,27.2800,2,1
16691,2,2235.8700,4,2
18858,4,1810.4600,4,1
15217,2,20.6300,4,2
20332,2,78.9800,2,1
14590,2,798.7791,5,2
21128,1,4.9900,1,1
16302,1,24.9900,1,1
17192,2,2325.8608,6,3
22602,2,1754.9800,2,1
21274,4,1197.9700,4,1
18274,2,30.9700,2,1
16946,2,1535.5162,4,2
22356,3,49.9700,3,1
21520,3,32.2700,3,1
22748,2,2094.1200,4,2
23830,1,2401.0550,3,2
18420,2,2414.9900,2,1
27640,3,60.4700,3,1
29157,1,3578.2700,1,1
15048,2,2230.1933,6,3
20501,2,64.9800,2,1
28659,1,2443.3500,1,1
28828,1,2164.8050,3,2
23747,4,1142.4200,4,1
25413,3,1228.8300,3,1
17275,1,4.9900,1,1
27185,4,588.9600,4,1
11865,2,57.4600,4,2
20521,4,25.2200,4,1
23939,2,1709.9800,2,1
15801,2,2190.6891,4,2
14719,3,1837.4200,10,3
12492,2,1722.1360,6,3
25974,1,2909.5250,3,2
13382,2,2262.9112,4,2
22273,2,574.9800,2,1
23355,2,603.4900,2,1
17945,2,1980.5162,4,2
19027,1,1514.5391,3,2
26601,2,1431.3698,5,2
27683,2,38.9800,2,1
25582,3,1164.4700,3,1
13574,2,39.9800,2,1
11908,1,2693.0166,3,3
27056,1,2071.4196,1,1
26558,2,6.2800,2,1
13966,2,2280.7060,8,3
29412,2,1335.9398,5,2
26166,3,128.9700,3,1
25084,2,2393.0600,2,1
28719,1,2384.0700,1,1
26727,2,2241.0691,5,2
11739,3,2379.0150,6,2
18214,2,3046.6000,5,2
15343,1,776.2400,2,2
25161,2,2438.0600,2,1
28032,3,75.4700,3,1
23169,4,685.4700,4,1
26040,3,3018.3300,3,1
21772,3,23.9700,3,1
13777,2,2382.3566,7,3
16176,1,2202.0391,3,2
18732,4,114.4600,4,1
20298,1,69.9900,1,1
22290,4,600.4600,4,1
21085,2,39.9800,2,1
19688,2,119.9800,2,1
19611,1,3027.1100,3,2
29080,2,777.3400,2,1
28642,2,27.2800,2,1
22559,1,4.9900,1,1
27514,1,539.9900,1,1
19937,4,72.9600,4,1
23687,1,29.9900,1,1
23246,2,32.2800,2,1
19250,3,31.2700,3,1
28201,2,2419.0600,2,1
29283,1,53.9900,1,1
27809,3,1164.4700,3,1
24958,1,2384.0700,1,1
26243,2,27.2800,2,1
14779,1,1631.4150,3,2
15861,2,7.2800,2,1
25599,2,1174.4800,2,1
14387,4,898.4600,4,1
24125,2,13.9800,2,1
13305,2,71.9700,2,1
28470,1,3399.9900,1,1
15735,2,58.1250,5,2
22731,3,69.9700,3,1
23372,3,553.9700,3,1
28327,4,2407.0400,4,1
12177,4,2405.7500,8,2
13056,2,1645.9100,4,2
17776,2,36.1250,5,2
12034,3,37.2700,6,2
24769,2,34.8900,2,1
20690,3,39.4700,3,1
26432,2,123.9800,2,1
22164,3,563.7700,3,1
13508,3,128.9700,3,1
19485,2,6.2800,2,1
21898,3,74.9800,3,1
27998,3,144.4700,3,1
29472,3,88.9800,3,1
17650,2,38.9800,2,1
20816,3,2114.3600,6,2
12552,1,8.9900,1,1
12695,2,96.4850,4,2
25287,1,1491.6700,2,2
12303,1,42.2350,3,2
26996,3,15.2300,3,1
17258,1,2173.8800,2,2
24205,3,615.4700,3,1
11221,2,23.1350,4,2
25914,3,37.9300,3,1
20959,2,38.9800,2,1
16817,1,4.9900,1,1
27245,2,33.9800,2,1
14261,1,1884.6394,5,3
25771,2,25.4800,2,1
26853,3,786.3300,3,1
27889,3,71.5800,3,1
26870,2,548.9800,2,1
11550,2,2620.7141,5,2
19044,2,29.9300,2,1
16505,2,39.9800,2,1
20441,2,39.9800,2,1
28768,1,4.9900,1,1
11078,3,114.1587,31,8
27388,3,83.9700,3,1
19562,1,2657.1250,3,2
17570,3,68.9700,3,1
25396,3,2398.0500,3,1
21460,2,14.9800,2,1
13634,3,117.4650,7,2
15532,2,794.8750,5,2
22934,2,2086.6600,4,2
26352,3,1763.9700,3,1
20942,1,3.9900,1,1
22416,4,1764.9600,4,1
17006,4,2404.4600,4,1
24314,2,57.0900,2,1
18480,2,2329.9900,2,1
14152,2,71.9700,2,1
15031,1,20.6350,3,2
13949,2,2274.2612,4,2
19359,1,1739.3887,3,2
15423,1,4.9900,1,1
11095,2,2719.3366,7,3
21915,3,570.4700,3,1
11533,1,18.6450,2,2
28845,1,2160.3100,2,2
19107,1,69.9900,1,1
24517,3,86.5800,3,1
27371,2,675.3750,5,2
28453,3,36.2700,3,1
17633,2,1366.3487,5,2
23043,1,29.9900,1,1
23561,1,29.9900,1,1
14905,2,163.9900,2,1
27497,2,37.2900,2,1
18841,2,1145.4800,2,1
22542,2,23.7800,2,1
13886,1,2268.2712,3,2
21068,4,81.4500,4,1
15234,1,29.9900,2,2
17132,1,4.9900,1,1
25788,3,60.4700,3,1
25270,1,927.2891,3,2
24016,4,44.2200,4,1
19860,3,132.9700,3,1
16614,2,35.5800,5,2
13196,2,56.9700,2,1
15360,1,4.9900,1,1
27262,1,2049.0982,1,1
18606,2,1750.9800,2,1
26744,1,969.2350,3,2
12678,2,113.8100,8,3
18088,2,1735.9800,2,1
27826,2,23.7800,2,1
21334,2,1155.4800,2,1
11659,2,47.0020,10,5
24643,2,34.8900,2,1
15987,2,702.4750,4,2
20315,3,132.9700,3,1
28971,2,27.2800,2,1
22087,4,94.4600,4,1
17759,3,37.2700,3,1
26415,3,68.9700,3,1
13133,2,2271.0394,7,3
12051,1,44.9900,3,2
16379,2,58.9800,2,1
20707,2,1750.9800,2,1
17461,4,2406.9500,4,1
21789,2,14.9800,2,1
27059,4,118.9600,4,1
18569,1,4.9900,1,1
25708,2,626.5341,4,2
17003,4,2416.4500,4,1
22837,3,69.9700,3,1
25493,6,1243.4400,6,1
15698,3,42.2800,3,1
21440,4,562.9600,4,1
11430,2,84.9800,2,1
17172,2,68.4900,2,1
24311,3,624.9700,3,1
12827,2,2230.6998,4,2
12904,2,2957.7650,5,2
26890,4,588.9600,4,1
11599,3,2978.6100,6,2
14132,1,1902.0391,3,2
14470,2,1691.1987,5,2
15775,3,15.2300,3,1
15529,1,793.7350,3,2
14301,2,2571.3748,4,2
24480,5,4175.6100,5,1
12658,2,2287.8132,7,3
26721,3,58.4700,3,1
17341,3,35.9600,3,1
18277,2,3035.2950,5,2
21609,3,553.9700,3,1
27182,2,1174.4800,2,1
24019,1,1120.4900,1,1
11676,1,45.6400,3,2
22545,3,48.9700,3,1
20979,4,1947.4600,4,1
18815,1,69.9900,1,1
19751,1,18.6350,3,2
21271,3,1728.2700,3,1
20043,2,32.2800,2,1
19797,1,3010.8100,2,2
15237,2,33.1300,4,2
11015,3,2500.9700,3,1
22376,1,29.9900,1,1
28825,1,3578.2700,1,1
29346,4,567.7600,4,1
21855,3,579.9700,3,1
16113,5,2391.9500,5,1
12366,2,44.4800,5,2
21686,1,9.9900,1,1
20381,1,69.9900,1,1
13840,2,1505.0162,4,2
24726,3,71.5800,3,1
26475,2,30.4800,2,1
11968,1,2693.0166,3,3
13763,2,30.9700,2,1
13365,2,24.2700,2,1
25785,1,4.9900,1,1
16711,2,66.4750,5,2
14547,2,96.4750,5,2
23252,2,14.9800,2,1
25416,4,40.2200,4,1
27949,3,553.9700,3,1
13073,1,21.9800,1,1
29223,1,2177.8050,3,2
24895,1,4.9900,1,1
20212,3,50.3700,6,2
17862,2,1750.9800,2,1
13534,3,43.1200,6,2
27351,2,123.9800,2,1
23850,1,539.9900,1,1
15008,3,56.8433,9,3
19336,1,978.7350,3,2
28533,1,4.9900,1,1
12489,2,39.4800,8,4
12197,1,23.9700,3,2
22316,4,617.4700,4,1
23312,2,13.9800,2,1
15177,2,7.2800,2,1
18048,3,64.9700,3,1
25018,4,197.8800,4,1
26014,2,2356.6650,4,2
26369,1,53.9900,1,1
19090,1,29.6300,3,2
26492,2,29.9800,2,1
22147,1,69.9900,1,1
23790,4,46.8300,4,1
12383,1,2949.1300,2,2
23621,3,2309.9700,3,1
20733,3,23.9700,3,1
28808,1,24.9900,1,1
16405,3,3262.8300,3,1
25001,3,49.9700,3,1
27872,2,2393.0600,2,1
23544,6,3971.0125,6,1
21669,1,1241.9900,2,2
14530,2,36.4300,5,2
13594,2,44.9800,2,1
16004,6,2518.2500,6,1
16651,2,13.9800,2,1
23143,3,563.7700,3,1
11782,3,75.8750,6,2
27766,3,827.3300,3,1
17879,2,59.9750,5,2
22207,1,2460.8450,3,2
29240,3,68.9700,3,1
24371,2,2096.9100,4,2
18984,2,94.4800,2,1
26644,2,1402.7141,4,2
15546,2,39.9800,2,1
19505,3,53.4700,3,1
25433,1,4.9900,1,1
26123,3,64.9700,3,1
15758,4,98.9600,4,1
14762,1,4.9900,1,1
15068,5,80.9400,5,1
17232,1,2173.8800,2,2
28118,4,588.9600,4,1
25954,2,27.2800,2,1
21148,1,1611.7891,3,2
25476,1,4.9900,1,1
16820,3,1608.8950,7,2
17710,3,56.9700,6,2
27597,5,564.2100,5,1
21254,3,89.9700,3,1
12598,1,21.4850,3,2
16926,2,22.4750,4,2
28287,3,103.4800,3,1
23959,2,38.9800,2,1
22728,3,149.9300,3,1
14072,1,37.4900,2,2
20564,2,1529.5391,4,2
18400,6,2409.9500,6,1
16236,4,98.9600,4,1
24786,1,2443.3500,1,1
18294,1,39.1300,3,2
15589,2,2208.1898,5,2
11261,2,3325.3000,4,2
20458,3,49.9700,3,1
13425,2,2405.1550,4,2
26950,2,777.3400,2,1
22622,2,58.9800,2,1
14115,1,1648.8587,3,2
11951,2,21.1733,8,3
24002,2,1372.2612,5,2
21838,1,4.9900,1,1
11075,1,2689.3433,5,3
19565,2,2654.1200,4,2
27368,3,132.9700,3,1
24497,3,71.5800,3,1
23833,4,722.7700,4,1
17527,2,12.9400,2,1
28765,1,3578.2700,1,1
22436,4,607.9600,4,1
13090,3,3406.2091,6,2
29406,3,68.9700,3,1
20398,3,68.9700,3,1
18091,2,1750.9800,2,1
20962,2,6.2800,2,1
28934,3,64.4700,3,1
18924,2,839.4800,2,1
21457,3,69.9700,3,1
18383,2,13.9800,2,1
16986,2,68.4900,2,1
12077,3,58.2266,9,3
25061,1,2443.3500,1,1
13654,2,56.9700,2,1
19001,2,45.9750,4,2
13013,2,85.4133,7,3
29329,1,53.9900,1,1
21872,2,34.9800,2,1
27706,3,553.9700,3,1
28347,4,73.9600,4,1
26873,2,1249.8400,2,1
25894,2,49.4800,2,1
25307,3,1759.9700,3,1
14487,2,39.9800,2,1
12472,1,49.9900,1,1
25602,3,1763.9700,3,1
13946,1,21.9800,1,1
23438,3,123.4800,3,1
24912,1,1060.4637,2,2
13551,1,1874.3060,5,3
26535,3,64.9700,3,1
27076,1,2071.4196,1,1
15715,1,19.9850,3,2
19150,2,32.9750,4,2
22897,4,561.9200,4,1
14241,3,84.9200,3,1
12675,1,2270.9232,5,3
21331,2,1335.4448,4,2
21165,2,2336.9412,5,2
27165,1,3.9900,1,1
20859,3,2508.9700,3,1
29037,1,69.9900,1,1
28639,4,190.2700,4,1
17819,1,3.9900,1,1
19983,1,1120.4900,1,1
22562,2,30.4800,2,1
15927,2,2310.9675,6,3
20624,1,3010.8100,2,2
18460,2,2341.9700,2,1
22021,3,23.9700,3,1
29180,4,2452.0400,4,1
19857,1,69.9900,1,1
11201,3,90.4700,6,2
11842,2,49.4850,4,2
19293,1,1266.9850,3,2
20547,2,56.9700,2,1
16760,3,67.9700,3,1
21729,3,49.9700,3,1
17401,2,2329.9900,2,1
26661,1,956.2350,3,2
22333,3,69.9700,3,1
23023,2,32.2800,2,1
16525,1,2376.3750,3,2
18689,2,78.9800,2,1
14361,3,106.9600,3,1
15051,2,3325.3000,4,2
12887,1,21.9800,1,1
14822,1,2198.8750,3,2
15818,1,4.9900,1,1
16837,1,77.7350,3,2
19708,1,564.9900,1,1
25187,3,71.5800,3,1
13780,2,59.4900,2,1
26183,1,2071.4196,1,1
12784,2,2992.6100,5,2
24709,2,1735.9800,2,1
20750,4,1184.4600,4,1
29054,2,751.3400,2,1
18234,2,1754.9800,2,1
11765,1,2714.3433,5,3
12306,1,37.4850,3,2
16296,5,122.9500,5,1
23126,4,45.2200,4,1
22788,4,603.9600,4,1
17693,2,13.9800,2,1
24185,2,7.2800,2,1
27580,2,39.9800,2,1
16219,3,553.9700,3,1
21088,2,30.4800,2,1
21314,1,9.9900,1,1
23329,2,39.9800,2,1
14839,5,156.2500,5,1
25204,2,1249.8400,2,1
19167,1,1120.4900,1,1
15363,2,2359.5200,4,2
19691,3,569.9700,3,1
14344,2,63.4750,5,2
18217,1,3028.3050,3,2
17676,2,603.4900,2,1
28058,1,21.4900,1,1
23730,1,2414.0550,3,2
21566,3,42.2800,3,1
11490,1,53.9900,1,1
15403,2,39.9800,2,1
26999,2,57.9800,2,1
23040,3,565.4700,3,1
17112,2,6.2800,2,1
25768,3,75.4700,3,1
26764,1,969.2350,3,2
18108,2,1735.9800,2,1
25078,4,2473.0400,4,1
12180,2,2965.1150,4,2
16422,1,2316.4312,3,2
27783,3,165.2800,3,1
27477,2,23.7800,2,1
16634,2,53.2800,5,2
18798,3,1728.2700,3,1
25290,2,2419.0600,2,1
13929,2,76.9700,2,1
13239,3,61.9000,11,3
29163,1,3578.2700,1,1
11616,3,1751.2165,10,3
20272,2,94.4800,2,1
19276,2,1273.9750,5,2
24600,1,4.9900,1,1
27932,3,123.4800,3,1
15944,3,1617.4700,6,2
14948,5,2786.5225,5,1
23604,1,3.9900,1,1
12549,1,2954.1250,3,2
14258,3,80.9600,3,1
27242,1,782.9900,1,1
18586,2,2322.2800,2,1
25619,3,1273.8300,3,1
22914,2,59.9800,2,1
26309,1,1400.2191,3,2
24145,2,13.9800,2,1
21981,2,75.9700,2,1
28473,1,21.4900,1,1
28622,4,88.4600,4,1
26458,3,32.2700,3,1
12071,2,2986.6200,5,2
23478,4,588.9600,4,1
27723,2,1155.4800,2,1
16339,1,1584.7941,2,2
19210,1,4.9900,1,1
16531,3,1645.9000,6,2
20776,3,22.9300,3,1
12094,3,2981.2600,6,2
27554,1,2071.4196,1,1
23647,2,12.9400,2,1
13468,3,2313.2612,6,2
12263,2,2276.4598,8,3
15134,2,2575.8548,5,2
26249,1,2071.4196,1,1
24952,3,71.5800,3,1
14865,1,29.9900,1,1
24852,3,2457.3300,3,1
26326,1,2221.0791,3,2
16170,2,94.4350,5,2
21812,2,1155.4800,2,1
29389,1,1294.5441,2,2
13737,4,39.2500,4,1
23378,2,2658.6150,5,2
17544,3,2359.9800,3,1
16608,2,50.7850,4,2
26687,1,24.9900,1,1
13299,3,2417.6500,6,2
22004,1,1958.7712,3,2
22250,2,548.9800,2,1
28951,1,9.9900,1,1
11825,1,2950.2750,3,2
17736,2,2371.3700,4,2
18174,2,7.2800,2,1
20338,2,123.9800,2,1
19648,3,50.4200,6,2
13222,3,50.1366,9,3
15380,2,1572.6300,5,2
20169,4,78.9600,4,1
13030,2,76.9700,2,1
28682,3,63.9700,3,1
22519,4,921.7700,4,1
21045,2,23.7800,2,1
19840,2,119.9800,2,1
11135,3,2334.9700,3,1
13906,1,1510.5212,3,2
16070,2,39.9800,2,1
24085,2,39.9800,2,1
12701,2,2289.4798,8,3
12532,3,78.5733,9,3
22688,2,38.9800,2,1
14696,3,42.2800,3,1
28490,4,778.6200,4,1
14596,2,1528.0241,5,2
14006,1,1647.7137,2,2
20069,2,574.9800,2,1
18503,2,123.9800,2,1
18005,2,1934.9575,7,3
14175,3,72.6150,7,2
11058,2,2749.3400,6,3
11556,1,21.4900,1,1
14367,1,919.9587,3,2
18695,1,3014.7850,3,2
24683,2,2393.0600,2,1
26518,3,32.2700,3,1
27992,1,2.2900,1,1
23209,1,2401.0550,3,2
19479,1,1721.8937,2,2
20853,3,1147.7700,3,1
23017,3,563.7700,3,1
19379,4,103.4600,4,1
21543,3,37.2700,3,1
17215,2,31.9700,2,1
14158,2,2988.3700,5,2
27225,2,28.4800,2,1
25542,2,13.9800,2,1
24354,3,2418.0500,3,1
21105,1,1266.9850,3,2
14444,2,30.9700,2,1
13139,2,2284.8165,7,3
20086,2,64.2750,5,2
27033,2,29.4800,2,1
15463,3,1401.2462,7,2
25828,1,936.7891,3,2
21560,2,2351.1962,5,2
28413,2,23.7800,2,1
15632,2,1748.3533,8,3
12970,5,157.0366,15,3
12778,4,45.9500,4,1
27016,3,41.9300,3,1
26770,1,69.9900,1,1
16860,1,4.9900,1,1
21752,2,7.2800,2,1
28244,2,3013.1550,5,2
24162,1,1502.4150,3,2
25559,2,626.5341,4,2
25997,1,2311.9150,3,2
18612,2,119.9800,2,1
20936,3,1134.4700,3,1
22940,2,2103.6600,4,2
26578,3,58.4700,3,1
12323,3,3612.3000,11,3
